# x,y,<bush>,<cookie>,<shadow>,<visibility>
28321,10541,0,0,0,0
28320,10539,0,0,0,0
28320,10539,0,0,0,0
28319,10538,0,0,0,0
28320,10537,0,0,0,0
28320,10537,0,0,0,0
28321,10536,0,0,0,0
28321,10537,0,0,0,0
28322,10538,0,0,0,0
28322,10539,0,0,0,0
28323,10539,0,0,0,0
28322,10537,0,0,0,0
28320,10535,0,0,0,0
28318,10534,0,0,0,0
28315,10531,0,0,0,0
28314,10531,0,0,0,0
28311,10529,0,0,0,0
28309,10527,0,0,0,0
28310,10525,0,0,0,0
28308,10525,0,0,0,0
28308,10525,0,0,0,0
28308,10524,0,0,0,0
28306,10524,0,0,0,0
28305,10523,0,0,0,0
28303,10521,0,0,0,0
28300,10520,0,0,0,0
28298,10520,0,0,0,0
28297,10519,0,0,0,0
28297,10520,0,0,0,0
28297,10520,0,0,0,0
28296,10521,0,0,0,0
28295,10520,0,0,0,0
28293,10520,0,0,0,0
28291,10520,0,0,0,0
28290,10519,0,0,0,0
28288,10519,0,0,0,0
28284,10519,0,0,0,0
28283,10520,0,0,0,0
28281,10521,0,0,0,0
28279,10520,0,0,0,0
28275,10518,0,0,0,0
28270,10516,0,0,0,0
28266,10513,0,0,0,0
28262,10510,0,0,0,0
28260,10507,0,0,0,0
28260,10505,0,0,0,0
28259,10505,0,0,0,0
28257,10506,0,0,0,0
28256,10506,0,0,0,0
28255,10506,0,0,0,0
28254,10505,0,0,0,0
28255,10506,0,0,0,0
28256,10505,0,0,0,0
28256,10506,0,0,0,0
28255,10506,0,0,0,0
28256,10506,0,0,0,0
28257,10507,0,0,0,0
28257,10509,0,0,0,0
28259,10508,0,0,0,0
28260,10507,0,0,0,0
28259,10508,0,0,0,0
28258,10508,0,0,0,0
28255,10509,0,0,0,0
28254,10509,0,0,0,0
28254,10507,0,0,0,0
28253,10509,0,0,0,0
28253,10506,0,0,0,0
28251,10504,0,0,0,0
28249,10503,0,0,0,0
28247,10502,0,0,0,0
28244,10500,0,0,0,0
28242,10500,0,0,0,0
28239,10498,0,0,0,0
28238,10498,0,0,0,0
28236,10498,0,0,0,0
28234,10496,0,0,0,0
28232,10496,0,0,0,0
28230,10496,0,0,0,0
28230,10497,0,0,0,0
28229,10497,0,0,0,0
28229,10498,0,0,0,0
28228,10497,0,0,0,0
28229,10496,0,0,0,0
28227,10497,0,0,0,0
28225,10499,0,0,0,0
28227,10498,0,0,0,0
28226,10498,0,0,0,0
28227,10499,0,0,0,0
28227,10500,0,0,0,0
28226,10501,0,0,0,0
28226,10503,0,0,0,0
28227,10505,0,0,0,0
28227,10506,0,0,0,0
28227,10507,0,0,0,0
28226,10508,0,0,0,0
28223,10510,0,0,0,0
28220,10511,0,0,0,0
28218,10512,0,0,0,0
28215,10513,0,0,0,0
28212,10516,0,0,0,0
28209,10517,0,0,0,0
28208,10519,0,0,0,0
28205,10520,0,0,0,0
28202,10521,0,0,0,0
28201,10522,0,0,0,0
28200,10521,0,0,0,0
28199,10519,0,0,0,0
28200,10520,0,0,0,0
28198,10521,0,0,0,0
28196,10522,0,0,0,0
28195,10524,0,0,0,0
28194,10524,0,0,0,0
28191,10525,0,0,0,0
28189,10525,0,0,0,0
28188,10523,0,0,0,0
28186,10523,0,0,0,0
28184,10523,0,0,0,0
28183,10521,0,0,0,0
28180,10520,0,0,0,0
28177,10519,0,0,0,0
28175,10517,0,0,0,0
28173,10516,0,0,0,0
28169,10515,0,0,0,0
28167,10514,0,0,0,0
28167,10513,0,0,0,0
28167,10511,0,0,0,0
28167,10509,0,0,0,0
28166,10509,0,0,0,0
28166,10508,0,0,0,0
28165,10508,0,0,0,0
28166,10506,0,0,0,0
28164,10503,0,0,0,0
28163,10504,0,0,0,0
28163,10503,0,0,0,0
28163,10503,0,0,0,0
28163,10504,0,0,0,0
28162,10505,0,0,0,0
28164,10507,0,0,0,0
28164,10510,0,0,0,0
28163,10511,0,0,0,0
28161,10512,0,0,0,0
28158,10512,0,0,0,0
28156,10513,0,0,0,0
28154,10512,0,0,0,0
28152,10512,0,0,0,0
28150,10513,0,0,0,0
28147,10515,0,0,0,0
28146,10518,0,0,0,0
28148,10521,0,0,0,0
28146,10522,0,0,0,0
28145,10524,0,0,0,0
28144,10526,0,0,0,0
28142,10528,0,0,0,0
28141,10531,0,0,0,0
28140,10536,0,0,0,0
28138,10539,0,0,0,0
28136,10543,0,0,0,0
28135,10548,0,0,0,0
28134,10551,0,0,0,0
28133,10554,0,0,0,0
28133,10557,0,0,0,0
28131,10559,0,0,0,0
28130,10562,0,0,0,0
28129,10564,0,0,0,0
28129,10566,0,0,0,0
28128,10568,0,0,0,0
28127,10572,0,0,0,0
28127,10574,0,0,0,0
28128,10578,0,0,0,0
28127,10582,0,0,0,0
28125,10587,0,0,0,0
28125,10591,0,0,0,0
28126,10592,0,0,0,0
28127,10595,0,0,0,0
28129,10597,0,0,0,0
28129,10603,0,0,0,0
28128,10609,0,0,0,0
28127,10614,0,0,0,0
28124,10619,0,0,0,0
28121,10624,0,0,0,0
