# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<visibility>
28660,10603,0,0,0,0,0
28660,10603,0,0,0,0,0
28662,10604,0,0,0,0,0
28663,10604,0,0,0,0,0
28664,10604,0,0,0,0,0
28665,10603,0,0,0,0,0
28668,10604,0,0,0,0,0
28667,10605,0,0,0,0,0
28669,10607,0,0,0,0,0
28669,10608,0,0,0,0,0
28669,10609,0,0,0,0,0
28671,10610,0,0,0,0,0
28672,10612,0,0,0,0,0
28673,10613,0,0,0,0,0
28674,10615,0,0,0,0,0
28675,10616,0,0,0,0,0
28676,10618,0,0,0,0,0
28676,10618,0,0,0,0,0
28677,10621,0,0,0,0,0
28678,10622,0,0,0,0,0
28678,10624,0,0,0,0,0
28679,10626,0,0,0,0,0
28678,10627,0,0,0,0,0
28679,10629,0,0,0,0,0
28679,10630,0,0,0,0,0
28680,10632,0,0,0,0,0
28680,10634,0,0,0,0,0
28680,10634,0,0,0,0,0
28680,10636,0,0,0,0,0
28680,10635,0,0,0,0,0
28680,10636,0,0,0,0,0
28681,10638,0,0,0,0,0
28681,10636,0,0,0,0,0
28681,10636,0,0,0,0,0
28682,10637,0,0,0,0,0
28682,10638,0,0,0,0,0
28681,10637,0,0,0,0,0
28682,10638,0,0,0,0,0
28683,10639,0,0,0,0,0
28684,10641,0,0,0,0,0
28683,10641,0,0,0,0,0
28684,10641,0,0,0,0,0
28684,10642,0,0,0,0,0
28684,10643,0,0,0,0,0
28683,10641,0,0,0,0,0
28685,10642,0,0,0,0,0
28686,10644,0,0,0,0,0
28686,10646,0,0,0,0,0
28688,10647,0,0,0,0,0
28688,10648,0,0,0,0,0
28689,10651,0,0,0,0,0
28690,10654,0,0,0,0,0
28692,10656,0,0,0,0,0
28693,10660,0,0,0,0,0
28695,10663,0,0,0,0,0
28696,10666,0,0,0,0,0
28700,10674,0,0,0,0,0
28706,10680,0,0,0,0,0
28710,10686,0,0,0,0,0
28713,10689,0,0,0,0,0
28716,10695,0,0,0,0,0
28721,10699,0,0,0,0,0
28724,10703,0,0,0,0,0
28726,10706,0,0,0,0,0
28731,10708,0,0,0,0,0
28734,10711,0,0,0,0,0
28738,10713,0,0,0,0,0
28741,10716,0,0,0,0,0
28744,10718,0,0,0,0,0
28748,10723,0,0,0,0,0
28750,10725,0,0,0,0,0
28753,10727,0,0,0,0,0
28756,10730,0,0,0,0,0
28758,10730,0,0,0,0,0
28760,10734,0,0,0,0,0
28760,10738,0,0,0,0,0
28760,10743,0,0,0,0,0
28763,10747,0,0,0,0,0
28764,10752,0,0,0,0,0
28764,10757,0,0,0,0,0
28766,10760,0,0,0,0,0
28769,10761,0,0,0,0,0
28769,10766,0,0,0,0,0
28769,10765,0,0,0,0,0
28767,10766,0,0,0,0,0
28768,10769,0,0,0,0,0
28768,10771,0,0,0,0,0
28769,10773,0,0,0,0,0
