# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
28181,11146,0,0,0,0,0,1
28181,11147,0,0,0,0,0,1
28181,11147,0,0,0,0,0,1
28182,11148,0,0,0,0,0,1
28183,11149,0,0,0,0,0,1
28184,11151,0,0,0,0,0,1
28185,11154,0,0,0,0,0,1
28185,11154,0,0,0,0,0,1
28185,11156,0,0,0,0,0,1
28185,11158,0,0,0,0,0,1
28186,11159,0,0,0,0,0,1
28186,11159,0,0,0,0,0,1
28186,11158,0,0,0,0,0,1
28186,11158,0,0,0,0,0,1
28185,11158,0,0,0,0,0,1
28185,11159,0,0,0,0,0,1
28185,11159,0,0,0,0,0,1
28186,11158,0,0,0,0,0,1
28186,11159,0,0,0,0,0,1
28186,11158,0,0,0,0,0,1
28186,11160,0,0,0,0,0,1
28188,11164,0,0,0,0,0,1
28191,11166,0,0,0,0,0,1
28192,11168,0,0,0,0,0,1
28193,11171,0,0,0,0,0,1
28195,11172,0,0,0,0,0,1
28196,11172,0,0,0,0,0,1
28195,11173,0,0,0,0,0,1
28196,11173,0,0,0,0,0,1
28198,11174,0,0,0,0,0,1
28196,11173,0,0,0,0,0,1
28196,11173,0,0,0,0,0,1
28197,11171,0,0,0,0,0,1
28197,11172,0,0,0,0,0,1
28197,11173,0,0,0,0,0,1
28198,11174,0,0,0,0,0,1
28199,11176,0,0,0,0,0,1
28200,11177,0,0,0,0,0,1
28200,11179,0,0,0,0,0,1
28199,11179,0,0,0,0,0,1
28199,11182,0,0,0,0,0,1
28199,11183,0,0,0,0,0,1
28198,11182,0,0,0,0,0,1
28199,11180,0,0,0,0,0,1
28199,11180,0,0,0,0,0,1
28198,11181,0,0,0,0,0,1
28198,11183,0,0,0,0,0,1
28197,11183,0,0,0,0,0,1
28196,11184,0,0,0,0,0,1
28197,11185,0,0,0,0,0,1
28197,11188,0,0,0,0,0,1
28198,11187,0,0,0,0,0,1
28197,11186,0,0,0,0,0,1
28197,11187,0,0,0,0,0,1
28196,11188,0,0,0,0,0,1
28196,11188,0,0,0,0,0,1
28195,11187,0,0,0,0,0,1
28194,11188,0,0,0,0,0,1
28194,11191,0,0,0,0,0,1
28193,11194,0,0,0,0,0,1
28193,11194,0,0,0,0,0,1
28192,11194,0,0,0,0,0,1
28191,11195,0,0,0,0,0,1
28190,11196,0,0,0,0,0,1
28189,11198,0,0,0,0,0,1
28189,11200,0,0,0,0,0,1
28186,11203,0,0,0,0,0,1
28183,11206,0,0,0,0,0,1
28182,11208,0,0,0,0,0,1
28182,11209,0,0,0,0,0,1
28181,11209,0,0,0,0,0,1
28180,11210,0,0,0,0,0,1
28179,11210,0,0,0,0,0,1
28178,11209,0,0,0,0,0,1
28180,11209,0,0,0,0,0,1
28179,11211,0,0,0,0,0,1
28179,11210,0,0,0,0,0,1
28178,11209,0,0,0,0,0,1
28179,11208,0,0,0,0,0,1
28180,11209,0,0,0,0,0,1
28180,11209,0,0,0,0,0,1
28180,11210,0,0,0,0,0,1
28179,11210,0,0,0,0,0,1
28177,11209,0,0,0,0,0,1
28177,11210,0,0,0,0,0,1
28175,11210,0,0,0,0,0,1
28174,11209,0,0,0,0,0,1
28175,11212,0,0,0,0,0,1
28175,11212,0,0,0,0,0,1
28175,11211,0,0,0,0,0,1
28173,11212,0,0,0,0,0,1
28174,11213,0,0,0,0,0,1
28173,11211,0,0,0,0,0,1
28173,11212,0,0,0,0,0,1
28172,11209,0,0,0,0,0,1
28174,11211,0,0,0,0,0,1
28173,11213,0,0,0,0,0,1
28170,11215,0,0,0,0,0,1
28168,11217,0,0,0,0,0,1
28166,11218,0,0,0,0,0,1
28165,11219,0,0,0,0,0,1
28164,11219,0,0,0,0,0,1
28164,11221,0,0,0,0,0,1
28165,11221,0,0,0,0,0,1
28165,11220,0,0,0,0,0,1
28165,11220,0,0,0,0,0,1
28166,11220,0,0,0,0,0,1
28164,11221,0,0,0,0,0,1
28165,11219,0,0,0,0,0,1
28166,11220,0,0,0,0,0,1
28165,11221,0,0,0,0,0,1
28166,11220,0,0,0,0,0,1
28166,11221,0,0,0,0,0,1
28165,11222,0,0,0,0,0,1
28165,11224,0,0,0,0,0,1
28165,11227,0,0,0,0,0,1
28165,11230,0,0,0,0,0,1
28165,11231,0,0,0,0,0,1
28164,11232,0,0,0,0,0,1
28164,11231,0,0,0,0,0,1
28165,11231,0,0,0,0,0,1
28164,11230,0,0,0,0,0,1
28164,11232,0,0,0,0,0,1
28163,11232,0,0,0,0,0,1
28164,11232,0,0,0,0,0,1
28164,11232,0,0,0,0,0,1
28163,11230,0,0,0,0,0,1
28164,11229,0,0,0,0,0,1
28165,11229,0,0,0,0,0,1
28165,11230,0,0,0,0,0,1
28166,11230,0,0,0,0,0,1
28166,11229,0,0,0,0,0,1
28167,11229,0,0,0,0,0,1
28167,11229,0,0,0,0,0,1
28166,11232,0,0,0,0,0,1
28166,11231,0,0,0,0,0,1
28167,11232,0,0,0,0,0,1
28167,11231,0,0,0,0,0,1
28167,11230,0,0,0,0,0,1
28167,11230,0,0,0,0,0,1
28169,11229,0,0,0,0,0,1
28168,11230,0,0,0,0,0,1
28169,11229,0,0,0,0,0,1
28168,11228,0,0,0,0,0,1
28169,11228,0,0,0,0,0,1
28167,11229,0,0,0,0,0,1
28168,11230,0,0,0,0,0,1
28167,11230,0,0,0,0,0,1
28168,11229,0,0,0,0,0,1
28169,11228,0,0,0,0,0,1
28168,11228,0,0,0,0,0,1
28168,11230,0,0,0,0,0,1
28169,11229,0,0,0,0,0,1
28169,11230,0,0,0,0,0,1
28168,11229,0,0,0,0,0,1
28168,11229,0,0,0,0,0,1
28169,11230,0,0,0,0,0,1
28168,11230,0,0,0,0,0,1
28169,11231,0,0,0,0,0,1
28168,11234,0,0,0,0,0,1
28168,11235,0,0,0,0,0,1
28169,11234,0,0,0,0,0,1
28169,11234,0,0,0,0,0,1
28169,11235,0,0,0,0,0,1
28171,11235,0,0,0,0,0,1
28171,11238,0,0,0,0,0,1
28171,11237,0,0,0,0,0,1
28170,11235,0,0,0,0,0,1
28170,11238,0,0,0,0,0,1
28170,11238,0,0,0,0,0,1
28170,11238,0,0,0,0,0,1
28170,11237,0,0,0,0,0,1
28171,11237,0,0,0,0,0,1
28171,11238,0,0,0,0,0,1
28172,11240,0,0,0,0,0,1
28171,11240,0,0,0,0,0,1
28171,11242,0,0,0,0,0,1
28172,11243,0,0,0,0,0,1
28173,11244,0,0,0,0,0,1
28173,11244,0,0,0,0,0,1
28173,11245,0,0,0,0,0,1
28174,11247,0,0,0,0,0,1
28174,11247,0,0,0,0,0,1
28174,11247,0,0,0,0,0,1
28175,11247,0,0,0,0,0,1
28175,11247,0,0,0,0,0,1
28175,11248,0,0,0,0,0,1
28175,11247,0,0,0,0,0,1
28176,11247,0,0,0,0,0,1
28175,11246,0,0,0,0,0,1
28175,11246,0,0,0,0,0,1
28176,11246,0,0,0,0,0,1
28176,11246,0,0,0,0,0,1
28175,11245,0,0,0,0,0,1
28175,11246,0,0,0,0,0,1
28175,11246,0,0,0,0,0,1
28176,11247,0,0,0,0,0,1
28176,11246,0,0,0,0,0,1
28175,11247,0,0,0,0,0,1
28175,11247,0,0,0,0,0,1
28175,11247,0,0,0,0,0,1
28174,11247,0,0,0,0,0,1
28175,11247,0,0,0,0,0,1
28175,11246,0,0,0,0,0,1
28174,11246,0,0,0,0,0,1
28174,11247,0,0,0,0,0,1
28174,11248,0,0,0,0,0,1
28173,11249,0,0,0,0,0,1
28172,11248,0,0,0,0,0,1
28173,11249,0,0,0,0,0,1
28171,11249,0,0,0,0,0,1
28172,11251,0,0,0,0,0,1
28174,11251,0,0,0,0,0,1
28173,11251,0,0,0,0,0,1
28173,11251,0,0,0,0,0,1
28173,11251,0,0,0,0,0,1
28173,11251,0,0,0,0,0,1
28173,11251,0,0,0,0,0,1
28174,11250,0,0,0,0,0,1
28174,11250,0,0,0,0,0,1
28174,11251,0,0,0,0,0,1
28173,11251,0,0,0,0,0,1
28172,11253,0,0,0,0,0,1
28171,11254,0,0,0,0,0,1
28172,11253,0,0,0,0,0,1
28171,11255,0,0,0,0,0,1
28171,11255,0,0,0,0,0,1
28171,11252,0,0,0,0,0,1
28171,11254,0,0,0,0,0,1
28172,11252,0,0,0,0,0,1
28172,11253,0,0,0,0,0,1
28172,11252,0,0,0,0,0,1
28172,11252,0,0,0,0,0,1
28171,11251,0,0,0,0,0,1
28171,11252,0,0,0,0,0,1
28170,11253,0,0,0,0,0,1
28169,11252,0,0,0,0,0,1
28168,11253,0,0,0,0,0,1
28167,11254,0,0,0,0,0,1
28166,11255,0,0,0,0,0,1
28165,11256,0,0,0,0,0,1
28164,11256,0,0,0,0,0,1
28161,11257,0,0,0,0,0,1
28162,11256,0,0,0,0,0,1
28164,11257,0,0,0,0,0,1
28163,11258,0,0,0,0,0,1
28162,11258,0,0,0,0,0,1
28163,11258,0,0,0,0,0,1
28162,11258,0,0,0,0,0,1
28163,11260,0,0,0,0,0,1
28163,11260,0,0,0,0,0,1
28162,11261,0,0,0,0,0,1
28161,11263,0,0,0,0,0,1
28159,11263,0,0,0,0,0,1
28158,11263,0,0,0,0,0,1
28156,11262,0,0,0,0,0,1
28156,11261,0,0,0,0,0,1
28156,11261,0,0,0,0,0,1
28156,11262,0,0,0,0,0,1
28156,11261,0,0,0,0,0,1
28156,11260,0,0,0,0,0,1
28155,11259,0,0,0,0,0,1
28156,11257,0,0,0,0,0,1
28156,11257,0,0,0,0,0,1
28154,11256,0,0,0,0,0,1
28156,11256,0,0,0,0,0,1
28155,11256,0,0,0,0,0,1
28153,11254,0,0,0,0,0,1
28153,11254,0,0,0,0,0,1
28152,11252,0,0,0,0,0,1
28151,11251,0,0,0,0,0,1
28151,11250,0,0,0,0,0,1
28150,11250,0,0,0,0,0,1
28150,11249,0,0,0,0,0,1
28150,11249,0,0,0,0,0,1
28150,11249,0,0,0,0,0,1
28150,11249,0,0,0,0,0,1
28150,11248,0,0,0,0,0,1
28149,11249,0,0,0,0,0,1
28148,11248,0,0,0,0,0,1
28149,11248,0,0,0,0,0,1
28148,11246,0,0,0,0,0,1
28148,11245,0,0,0,0,0,1
28147,11244,0,0,0,0,0,1
28147,11243,0,0,0,0,0,1
28147,11242,0,0,0,0,0,1
28148,11242,0,0,0,0,0,1
28149,11240,0,0,0,0,0,1
28149,11241,0,0,0,0,0,1
28147,11241,0,0,0,0,0,1
28147,11242,0,0,0,0,0,1
28147,11242,0,0,0,0,0,1
28147,11242,0,0,0,0,0,1
28148,11243,0,0,0,0,0,1
28148,11243,0,0,0,0,0,1
28148,11243,0,0,0,0,0,1
28148,11244,0,0,0,0,0,1
28147,11243,0,0,0,0,0,1
28146,11243,0,0,0,0,0,1
28145,11243,0,0,0,0,0,1
28144,11242,0,0,0,0,0,1
28144,11241,0,0,0,0,0,1
28143,11240,0,0,0,0,0,1
28142,11240,0,0,0,0,0,1
28141,11239,0,0,0,0,0,1
28139,11240,0,0,0,0,0,1
28138,11239,0,0,0,0,0,1
28136,11239,0,0,0,0,0,1
28135,11239,0,0,0,0,0,1
28133,11238,0,0,0,0,0,1
28130,11237,0,0,0,0,0,1
28128,11237,0,0,0,0,0,1
28125,11236,0,0,0,0,0,1
28124,11237,0,0,0,0,0,1
28122,11237,0,0,0,0,0,1
28120,11237,0,0,0,0,0,1
28120,11238,0,0,0,0,0,1
28120,11237,0,0,0,0,0,1
28120,11237,0,0,0,0,0,1
28118,11236,0,0,0,0,0,1
28119,11236,0,0,0,0,0,1
28118,11237,0,0,0,0,0,1
28120,11238,0,0,0,0,0,1
28119,11236,0,0,0,0,0,1
28116,11237,0,0,0,0,0,1
28114,11237,0,0,0,0,0,1
28111,11236,0,0,0,0,0,1
28109,11235,0,0,0,0,0,1
28106,11235,0,0,0,0,0,1
28103,11234,0,0,0,0,0,1
28101,11233,0,0,0,0,0,1
28099,11233,0,0,0,0,0,1
28098,11234,0,0,0,0,0,1
28097,11233,0,0,0,0,0,1
28096,11233,0,0,0,0,0,1
28096,11232,0,0,0,0,0,1
28097,11233,0,0,0,0,0,1
28097,11234,0,0,0,0,0,1
28097,11235,0,0,0,0,0,1
28097,11233,0,0,0,0,0,1
28096,11234,0,0,0,0,0,1
28096,11233,0,0,0,0,0,1
28095,11231,0,0,0,0,0,1
28095,11232,0,0,0,0,0,1
28095,11231,0,0,0,0,0,1
28095,11232,0,0,0,0,0,1
28094,11233,0,0,0,0,0,1
28093,11232,0,0,0,0,0,1
28095,11233,0,0,0,0,0,1
28095,11233,0,0,0,0,0,1
28094,11234,0,0,0,0,0,1
28094,11235,0,0,0,0,0,1
28095,11235,0,0,0,0,0,1
28095,11235,0,0,0,0,0,1
28097,11237,0,0,0,0,0,1
28098,11236,0,0,0,0,0,1
28099,11236,0,0,0,0,0,1
28098,11236,0,0,0,0,0,1
28099,11236,0,0,0,0,0,1
28099,11236,0,0,0,0,0,1
28099,11238,0,0,0,0,0,1
28098,11238,0,0,0,0,0,1
28098,11238,0,0,0,0,0,1
28099,11237,0,0,0,0,0,1
28099,11238,0,0,0,0,0,1
28096,11237,0,0,0,0,0,1
28096,11237,0,0,0,0,0,1
28095,11237,0,0,0,0,0,1
28096,11238,0,0,0,0,0,1
28096,11238,0,0,0,0,0,1
28097,11237,0,0,0,0,0,1
28096,11236,0,0,0,0,0,1
28098,11237,0,0,0,0,0,1
28099,11237,0,0,0,0,0,1
28099,11236,0,0,0,0,0,1
28098,11236,0,0,0,0,0,1
28097,11235,0,0,0,0,0,1
28096,11234,0,0,0,0,0,1
28096,11234,0,0,0,0,0,1
