# x,y,<bush>,<cookie>,<shadow>,<visibility>
30796,13558,0,0,0,0
30796,13558,0,0,0,0
30796,13558,0,0,0,0
30797,13558,0,0,0,0
30800,13558,0,0,0,0
30799,13557,0,0,0,0
30798,13557,0,0,0,0
30797,13556,0,0,0,0
30798,13556,0,0,0,0
30797,13555,0,0,0,0
30792,13556,0,0,0,0
30792,13555,0,0,0,0
30790,13555,0,0,0,0
30787,13555,0,0,0,0
30787,13554,0,0,0,0
30785,13554,0,0,0,0
30785,13554,0,0,0,0
30783,13552,0,0,0,0
30782,13552,0,0,0,0
30779,13550,0,0,0,0
30776,13550,0,0,0,0
30771,13548,0,0,0,0
30768,13544,0,0,0,0
30766,13539,0,0,0,0
30758,13540,0,0,0,0
30754,13543,0,0,0,0
30749,13547,0,0,0,0
30746,13548,0,0,0,0
30746,13550,0,0,0,0
30743,13557,0,0,0,0
30740,13559,0,0,0,0
30738,13559,0,0,0,0
30733,13560,0,0,0,0
30728,13564,0,0,0,0
30722,13567,0,0,0,0
30717,13570,0,0,0,0
30710,13576,0,0,0,0
30705,13580,0,0,0,0
30705,13586,0,0,0,0
30699,13592,0,0,0,0
30694,13599,0,0,0,0
30690,13607,0,0,0,0
30686,13616,0,0,0,0
30684,13621,0,0,0,0
30681,13625,0,0,0,0
30679,13629,0,0,0,0
30677,13634,0,0,0,0
30672,13636,0,0,0,0
30669,13637,0,0,0,0
30665,13637,0,0,0,0
30659,13640,0,0,0,0
30653,13642,0,0,0,0
30652,13642,0,0,0,0
30650,13649,0,0,0,0
30649,13651,0,0,0,0
30649,13652,0,0,0,0
30650,13652,0,0,0,0
30646,13650,0,0,0,0
30646,13649,0,0,0,0
30646,13649,0,0,0,0
30650,13652,0,0,0,0
30650,13652,0,0,0,0
30651,13650,0,0,0,0
30650,13651,0,0,0,0
30647,13650,0,0,0,0
30648,13648,0,0,0,0
30648,13645,0,0,0,0
30648,13646,0,0,0,0
30647,13648,0,0,0,0
30647,13648,0,0,0,0
30644,13650,0,0,0,0
30647,13650,0,0,0,0
30647,13648,0,0,0,0
30648,13648,0,0,0,0
30647,13648,0,0,0,0
30649,13649,0,0,0,0
30649,13649,0,0,0,0
30651,13651,0,0,0,0
30653,13650,0,0,0,0
30653,13652,0,0,0,0
30652,13654,0,0,0,0
30650,13660,0,0,0,0
30652,13668,0,0,0,0
30650,13672,0,0,0,0
30649,13680,0,0,0,0
30654,13691,0,0,0,0
30655,13696,0,0,0,0
30657,13702,0,0,0,0
30658,13707,0,0,0,0
30658,13712,0,0,0,0
30660,13717,0,0,0,0
30663,13719,0,0,0,0
30665,13726,0,0,0,0
30671,13739,0,0,0,0
30685,13747,0,0,0,0
30699,13756,0,0,0,0
30708,13763,0,0,0,0
30718,13769,0,0,0,0
30726,13778,0,0,0,0
30737,13782,0,0,0,0
30733,13839,0,0,0,0
30740,13843,0,0,0,0
30744,13845,0,0,0,0
30745,13847,0,0,0,0
30750,13854,0,0,0,0
30755,13856,0,0,0,0
30758,13856,0,0,0,0
30764,13864,0,0,0,0
30772,13869,0,0,0,0
30779,13873,0,0,0,0
30789,13877,0,0,0,0
30792,13879,0,0,0,0
30796,13880,0,0,0,0
30800,13882,0,0,0,0
30801,13884,0,0,0,0
30801,13884,0,0,0,0
30801,13883,0,0,0,0
30802,13884,0,0,0,0
30802,13884,0,0,0,0
30802,13884,0,0,0,0
30802,13884,0,0,0,0
30802,13885,0,0,0,0
30803,13884,0,0,0,0
30805,13885,0,0,0,0
30806,13883,0,0,0,0
30807,13880,0,0,0,0
30807,13877,0,0,0,0
30805,13879,0,0,0,0
30804,13880,0,0,0,0
30804,13875,0,0,0,0
30801,13876,0,0,0,0
30804,13874,0,0,0,0
30804,13874,0,0,0,0
30803,13873,0,0,0,0
30803,13873,0,0,0,0
30802,13873,0,0,0,0
30804,13872,0,0,0,0
30805,13875,0,0,0,0
30801,13873,0,0,0,0
30802,13874,0,0,0,0
30801,13875,0,0,0,0
30802,13875,0,0,0,0
30799,13877,0,0,0,0
30800,13875,0,0,0,0
30802,13876,0,0,0,0
30801,13875,0,0,0,0
30801,13874,0,0,0,0
30800,13875,0,0,0,0
30800,13875,0,0,0,0
30800,13877,0,0,0,0
30800,13875,0,0,0,0
30800,13876,0,0,0,0
30800,13875,0,0,0,0
30801,13876,0,0,0,0
30801,13877,0,0,0,0
30801,13876,0,0,0,0
30801,13877,0,0,0,0
30803,13876,0,0,0,0
30802,13876,0,0,0,0
30802,13877,0,0,0,0
30802,13877,0,0,0,0
30801,13876,0,0,0,0
30802,13876,0,0,0,0
30803,13876,0,0,0,0
30801,13876,0,0,0,0
30803,13875,0,0,0,0
30802,13875,0,0,0,0
30801,13875,0,0,0,0
30802,13875,0,0,0,0
30802,13876,0,0,0,0
30802,13875,0,0,0,0
30802,13876,0,0,0,0
30803,13878,0,0,0,0
30803,13879,0,0,0,0
30804,13880,0,0,0,0
30803,13880,0,0,0,0
30804,13881,0,0,0,0
30805,13881,0,0,0,0
30804,13879,0,0,0,0
30805,13881,0,0,0,0
30804,13879,0,0,0,0
30801,13880,0,0,0,0
30800,13880,0,0,0,0
30798,13882,0,0,0,0
30799,13878,0,0,0,0
30802,13879,0,0,0,0
30804,13878,0,0,0,0
30805,13880,0,0,0,0
30804,13878,0,0,0,0
30805,13878,0,0,0,0
30805,13878,0,0,0,0
30804,13878,0,0,0,0
30803,13877,0,0,0,0
30802,13878,0,0,0,0
30801,13878,0,0,0,0
30802,13877,0,0,0,0
30799,13878,0,0,0,0
30801,13879,0,0,0,0
30799,13879,0,0,0,0
30797,13879,0,0,0,0
30858,13848,0,0,0,0
30854,13849,0,0,0,0
30851,13851,0,0,0,0
30846,13854,0,0,0,0
30838,13856,0,0,0,0
30835,13857,0,0,0,0
30827,13864,0,0,0,0
30818,13869,0,0,0,0
30804,13874,0,0,0,0
30796,13880,0,0,0,0
30785,13884,0,0,0,0
30774,13890,0,0,0,0
30764,13898,0,0,0,0
30751,13903,0,0,0,0
30743,13909,0,0,0,0
30731,13913,0,0,0,0
30718,13914,0,0,0,0
30703,13919,0,0,0,0
30692,13926,0,0,0,0
30682,13929,0,0,0,0
30665,13934,0,0,0,0
30653,13939,0,0,0,0
30639,13947,0,0,0,0
30629,13951,0,0,0,0
30618,13955,0,0,0,0
30604,13961,0,0,0,0
30594,13968,0,0,0,0
30584,13975,0,0,0,0
30576,13986,0,0,0,0
30562,13989,0,0,0,0
30553,13998,0,0,0,0
30545,13998,0,0,0,0
30534,13999,0,0,0,0
30520,14000,0,0,0,0
30511,14004,0,0,0,0
30502,14007,0,0,0,0
30492,14012,0,0,0,0
30482,14014,0,0,0,0
30474,14015,0,0,0,0
30464,14018,0,0,0,0
30451,14024,0,0,0,0
30449,14027,0,0,0,0
30444,14029,0,0,0,0
30434,14034,0,0,0,0
30423,14036,0,0,0,0
30415,14034,0,0,0,0
30407,14034,0,0,0,0
30400,14036,0,0,0,0
30399,14040,0,0,0,0
30391,14049,0,0,0,0
30388,14053,0,0,0,0
30383,14058,0,0,0,0
30372,14064,0,0,0,0
30362,14071,0,0,0,0
30362,14073,0,0,0,0
30359,14074,0,0,0,0
30356,14078,0,0,0,0
30351,14079,0,0,0,0
30351,14080,0,0,0,0
30351,14080,0,0,0,0
30352,14081,0,0,0,0
30346,14085,0,0,0,0
30343,14086,0,0,0,0
30343,14088,0,0,0,0
30346,14085,0,0,0,0
30347,14083,0,0,0,0
30346,14085,0,0,0,0
30345,14085,0,0,0,0
30346,14086,0,0,0,0
30347,14084,0,0,0,0
30348,14087,0,0,0,0
30347,14086,0,0,0,0
30348,14085,0,0,0,0
30347,14085,0,0,0,0
30349,14083,0,0,0,0
30347,14081,0,0,0,0
30347,14080,0,0,0,0
30348,14080,0,0,0,0
30350,14081,0,0,0,0
30351,14083,0,0,0,0
30350,14084,0,0,0,0
30352,14083,0,0,0,0
30352,14082,0,0,0,0
30353,14081,0,0,0,0
30355,14077,0,0,0,0
30360,14076,0,0,0,0
30366,14075,0,0,0,0
30372,14067,0,0,0,0
30374,14058,0,0,0,0
30381,14048,0,0,0,0
30391,14042,0,0,0,0
30396,14034,0,0,0,0
30402,14025,0,0,0,0
30408,14022,0,0,0,0
30412,14012,0,0,0,0
30418,14006,0,0,0,0
30424,14001,0,0,0,0
30429,13997,0,0,0,0
30431,13993,0,0,0,0
30433,13986,0,0,0,0
30513,14012,0,0,0,0
30518,14008,0,0,0,0
30518,14002,0,0,0,0
30518,14001,0,0,0,0
30517,14001,0,0,0,0
30516,13998,0,0,0,0
30515,13999,0,0,0,0
30516,13999,0,0,0,0
30514,13999,0,0,0,0
30516,13999,0,0,0,0
30515,13999,0,0,0,0
30516,14000,0,0,0,0
30517,14004,0,0,0,0
30518,14001,0,0,0,0
30518,14003,0,0,0,0
30520,14004,0,0,0,0
30518,14003,0,0,0,0
30517,14004,0,0,0,0
30516,14003,0,0,0,0
30518,14007,0,0,0,0
30518,14008,0,0,0,0
30523,14005,0,0,0,0
30524,14002,0,0,0,0
30526,14003,0,0,0,0
30526,14001,0,0,0,0
30527,14000,0,0,0,0
30525,14001,0,0,0,0
30525,14004,0,0,0,0
30524,14005,0,0,0,0
30523,14005,0,0,0,0
30524,14004,0,0,0,0
30520,14007,0,0,0,0
30519,14007,0,0,0,0
30517,14004,0,0,0,0
30514,14005,0,0,0,0
30513,14005,0,0,0,0
30512,14003,0,0,0,0
30512,14002,0,0,0,0
30513,14003,0,0,0,0
30513,14003,0,0,0,0
30513,13999,0,0,0,0
30512,14002,0,0,0,0
30513,14002,0,0,0,0
30512,14001,0,0,0,0
30514,14001,0,0,0,0
30514,14002,0,0,0,0
30512,14001,0,0,0,0
30513,14001,0,0,0,0
30514,14001,0,0,0,0
30513,14002,0,0,0,0
30513,14002,0,0,0,0
30513,14002,0,0,0,0
30513,14002,0,0,0,0
30512,14003,0,0,0,0
30511,14001,0,0,0,0
30511,14003,0,0,0,0
30512,14003,0,0,0,0
30511,14003,0,0,0,0
30512,14002,0,0,0,0
30513,14006,0,0,0,0
30514,14007,0,0,0,0
30513,14006,0,0,0,0
30514,14005,0,0,0,0
30515,14006,0,0,0,0
30513,14007,0,0,0,0
30516,14011,0,0,0,0
30517,14011,0,0,0,0
30519,14007,0,0,0,0
30524,14006,0,0,0,0
30527,14003,0,0,0,0
30527,14000,0,0,0,0
30532,13998,0,0,0,0
30533,13996,0,0,0,0
30534,13996,0,0,0,0
30534,13995,0,0,0,0
30534,13996,0,0,0,0
30533,13997,0,0,0,0
30532,13997,0,0,0,0
30535,13996,0,0,0,0
30533,13997,0,0,0,0
30535,13996,0,0,0,0
30535,13996,0,0,0,0
30535,13997,0,0,0,0
30537,13997,0,0,0,0
30536,13998,0,0,0,0
30535,13998,0,0,0,0
30539,13992,0,0,0,0
30542,13988,0,0,0,0
30550,13982,0,0,0,0
30554,13977,0,0,0,0
30562,13973,0,0,0,0
30566,13969,0,0,0,0
30573,13967,0,0,0,0
30578,13968,0,0,0,0
30578,13968,0,0,0,0
30578,13969,0,0,0,0
30577,13968,0,0,0,0
