# x,y,<bush>,<cookie>,<shadow>,<visibility>
24313,12848,0,1,0,0
24313,12849,0,1,0,0
24313,12851,0,1,0,0
24312,12852,0,1,0,0
24311,12857,0,1,0,0
24311,12862,0,1,0,0
24311,12867,0,1,0,0
24313,12871,0,1,0,0
24314,12872,0,1,0,0
24309,12873,0,1,0,0
24305,12875,0,1,0,0
24303,12880,0,1,0,0
24302,12885,0,1,0,0
24299,12889,0,1,0,0
24298,12891,0,1,0,0
24298,12890,0,1,0,0
24298,12891,0,1,0,0
24296,12894,0,1,0,0
24298,12897,0,1,0,0
24298,12900,0,1,0,0
24297,12905,0,1,0,0
24297,12912,0,1,0,0
24298,12916,0,1,0,0
24300,12919,0,1,0,0
24299,12920,0,1,0,0
24299,12920,0,1,0,0
24300,12920,0,1,0,0
24299,12919,0,1,0,0
24300,12919,0,1,0,0
24299,12920,0,1,0,0
24300,12920,0,1,0,0
24299,12920,0,1,0,0
24300,12920,0,1,0,0
24300,12920,0,1,0,0
24301,12920,0,1,0,0
24300,12921,0,1,0,0
24299,12922,0,1,0,0
24300,12921,0,1,0,0
24301,12925,0,1,0,0
24302,12927,0,1,0,0
24304,12932,0,1,0,0
24307,12939,0,1,0,0
24308,12942,0,1,0,0
24311,12948,0,1,0,0
24311,12958,0,1,0,0
24311,12963,0,1,0,0
24313,12970,0,1,0,0
24313,12974,0,1,0,0
24314,12980,0,1,0,0
24314,12985,0,1,0,0
24314,12987,0,1,0,0
24315,12990,0,1,0,0
24313,12991,0,1,0,0
24313,12992,0,1,0,0
24314,12992,0,1,0,0
24314,12993,0,1,0,0
24316,12996,0,1,0,0
24314,12992,0,1,0,0
24312,12993,0,1,0,0
24312,12994,0,1,0,0
24317,12997,0,1,0,0
24315,13000,0,1,0,0
24314,13003,0,1,0,0
24318,13001,0,1,0,0
24316,13001,0,1,0,0
24315,12999,0,1,0,0
24314,13001,0,1,0,0
24314,13004,0,1,0,0
24313,13006,0,1,0,0
24310,13013,0,1,0,0
24307,13019,0,1,0,0
24304,13019,0,1,0,0
24301,13022,0,1,0,0
24300,13023,0,1,0,0
24301,13022,0,1,0,0
24303,13022,0,1,0,0
24301,13022,0,1,0,0
24300,13021,0,1,0,0
24300,13022,0,1,0,0
24300,13021,0,1,0,0
24300,13021,0,1,0,0
24300,13022,0,1,0,0
24298,13022,0,1,0,0
24298,13022,0,1,0,0
24299,13021,0,1,0,0
24300,13021,0,1,0,0
24300,13022,0,1,0,0
24299,13022,0,1,0,0
24299,13022,0,1,0,0
24298,13022,0,1,0,0
24296,13024,0,1,0,0
24293,13025,0,1,0,0
24291,13028,0,1,0,0
24289,13030,0,1,0,0
24285,13032,0,1,0,0
24284,13032,0,1,0,0
24280,13036,0,1,0,0
24279,13041,0,1,0,0
24276,13047,0,1,0,0
24275,13051,0,1,0,0
24273,13062,0,1,0,0
24270,13064,0,1,0,0
24270,13067,0,1,0,0
24268,13071,0,1,0,0
24267,13078,0,1,0,0
24268,13080,0,1,0,0
24268,13082,0,1,0,0
24265,13082,0,1,0,0
24262,13082,0,1,0,0
24261,13083,0,1,0,0
24261,13082,0,1,0,0
24262,13083,0,1,0,0
24263,13082,0,1,0,0
24264,13083,0,1,0,0
24265,13082,0,1,0,0
24267,13082,0,1,0,0
24267,13082,0,1,0,0
24268,13082,0,1,0,0
24268,13081,0,1,0,0
24268,13082,0,1,0,0
24268,13082,0,1,0,0
24267,13082,0,1,0,0
24266,13081,0,1,0,0
24264,13081,0,1,0,0
24266,13082,0,1,0,0
24266,13082,0,1,0,0
24267,13081,0,1,0,0
24267,13081,0,1,0,0
24266,13081,0,1,0,0
24267,13080,0,1,0,0
24267,13081,0,1,0,0
24269,13082,0,1,0,0
24268,13081,0,1,0,0
24268,13079,0,1,0,0
24267,13079,0,1,0,0
24267,13079,0,1,0,0
24264,13080,0,1,0,0
24262,13079,0,1,0,0
24258,13077,0,1,0,0
24261,13076,0,1,0,0
24260,13077,0,1,0,0
24262,13076,0,1,0,0
24259,13076,0,1,0,0
24259,13076,0,1,0,0
24260,13077,0,1,0,0
24260,13077,0,1,0,0
24261,13077,0,1,0,0
24262,13077,0,1,0,0
24261,13079,0,1,0,0
24260,13077,0,1,0,0
24261,13077,0,1,0,0
24261,13077,0,1,0,0
24260,13079,0,1,0,0
24261,13077,0,1,0,0
24263,13077,0,1,0,0
24263,13077,0,1,0,0
24261,13075,0,1,0,0
24259,13073,0,1,0,0
24259,13072,0,1,0,0
24259,13070,0,1,0,0
24258,13068,0,1,0,0
24254,13071,0,1,0,0
24253,13073,0,1,0,0
24252,13073,0,1,0,0
24250,13071,0,1,0,0
24249,13072,0,1,0,0
24250,13072,0,1,0,0
24249,13073,0,1,0,0
24244,13069,0,1,0,0
24245,13069,0,1,0,0
24245,13070,0,1,0,0
24245,13070,0,1,0,0
24245,13071,0,1,0,0
24245,13070,0,1,0,0
24245,13071,0,1,0,0
24248,13074,0,1,0,0
24250,13074,0,1,0,0
24250,13075,0,1,0,0
24250,13075,0,1,0,0
24252,13073,0,1,0,0
24253,13073,0,1,0,0
24255,13074,0,1,0,0
24259,13071,0,1,0,0
24260,13071,0,1,0,0
24259,13073,0,1,0,0
24260,13073,0,1,0,0
24258,13072,0,1,0,0
24255,13070,0,1,0,0
24254,13071,0,1,0,0
24252,13076,0,1,0,0
24254,13071,0,1,0,0
24259,13068,0,1,0,0
24259,13068,0,1,0,0
24259,13068,0,1,0,0
24259,13069,0,1,0,0
24257,13072,0,1,0,0
24251,13074,0,1,0,0
24252,13076,0,1,0,0
24251,13074,0,1,0,0
24251,13075,0,1,0,0
24280,13069,0,1,0,0
24281,13070,0,1,0,0
24281,13070,0,1,0,0
24282,13069,0,1,0,0
24283,13069,0,1,0,0
24282,13069,0,1,0,0
24282,13069,0,1,0,0
24282,13068,0,1,0,0
24282,13068,0,1,0,0
24278,13073,0,1,0,0
24275,13078,0,1,0,0
24272,13075,0,1,0,0
24269,13073,0,1,0,0
24265,13074,0,1,0,0
24259,13075,0,1,0,0
24258,13074,0,1,0,0
24259,13075,0,1,0,0
24261,13071,0,1,0,0
24262,13069,0,1,0,0
24261,13071,0,1,0,0
24263,13070,0,1,0,0
24263,13068,0,1,0,0
24263,13069,0,1,0,0
24264,13065,0,1,0,0
24269,13065,0,1,0,0
24268,13065,0,1,0,0
24269,13065,0,1,0,0
24269,13065,0,1,0,0
24269,13065,0,1,0,0
24269,13065,0,1,0,0
24268,13065,0,1,0,0
24268,13064,0,1,0,0
24268,13065,0,1,0,0
24268,13065,0,1,0,0
24269,13065,0,1,0,0
24268,13067,0,1,0,0
24268,13068,0,1,0,0
24269,13068,0,1,0,0
24266,13068,0,1,0,0
24267,13068,0,1,0,0
24266,13068,0,1,0,0
24267,13068,0,1,0,0
24267,13068,0,1,0,0
24266,13068,0,1,0,0
24266,13068,0,1,0,0
24267,13068,0,1,0,0
24266,13068,0,1,0,0
