# x,y,<bush>,<cookie>,<shadow>,<visibility>
22603,3523,0,1,0,0
22603,3521,0,1,0,0
22606,3523,0,1,0,0
22609,3524,0,1,0,0
22611,3522,0,1,0,0
22614,3522,0,1,0,0
22615,3525,0,1,0,0
22616,3527,0,1,0,0
22615,3532,0,1,0,0
22615,3536,0,1,0,0
22617,3538,0,1,0,0
22616,3541,0,1,0,0
22616,3539,0,1,0,0
22617,3538,0,1,0,0
22618,3538,0,1,0,0
22616,3539,0,1,0,0
22617,3542,0,1,0,0
22615,3543,0,1,0,0
22620,3543,0,1,0,0
22622,3547,0,1,0,0
22621,3552,0,1,0,0
22621,3554,0,1,0,0
22621,3553,0,1,0,0
22620,3555,0,1,0,0
22620,3559,0,1,0,0
22624,3557,0,1,0,0
22630,3555,0,1,0,0
22632,3552,0,1,0,0
22632,3553,0,1,0,0
22633,3553,0,1,0,0
22632,3553,0,1,0,0
22634,3552,0,1,0,0
22634,3551,0,1,0,0
22634,3552,0,1,0,0
22632,3553,0,1,0,0
22633,3553,0,1,0,0
22632,3553,0,1,0,0
22633,3554,0,1,0,0
22633,3554,0,1,0,0
22633,3554,0,1,0,0
22633,3554,0,1,0,0
22633,3555,0,1,0,0
22633,3555,0,1,0,0
22633,3555,0,1,0,0
22634,3556,0,1,0,0
22636,3557,0,1,0,0
22641,3564,0,1,0,0
22643,3567,0,1,0,0
22646,3571,0,1,0,0
22643,3575,0,1,0,0
22644,3581,0,1,0,0
22645,3587,0,1,0,0
22647,3593,0,1,0,0
22651,3601,0,1,0,0
22656,3608,0,1,0,0
22662,3615,0,1,0,0
22665,3619,0,1,0,0
22664,3624,0,1,0,0
22667,3633,0,1,0,0
22667,3642,0,1,0,0
22670,3644,0,1,0,0
22672,3652,0,1,0,0
22673,3663,0,1,0,0
22678,3671,0,1,0,0
22684,3679,0,1,0,0
22685,3683,0,1,0,0
22689,3686,0,1,0,0
22689,3689,0,1,0,0
22688,3693,0,1,0,0
22687,3695,0,1,0,0
