# x,y,<bush>,<cookie>,<shadow>,<visibility>
36242,4812,0,1,0,0
36243,4812,0,1,0,0
36246,4811,0,1,0,0
36249,4809,0,1,0,0
36247,4809,0,1,0,0
36249,4806,0,1,0,0
36249,4807,0,1,0,0
36250,4807,0,1,0,0
36246,4809,0,1,0,0
36248,4809,0,1,0,0
36248,4806,0,1,0,0
36246,4810,0,1,0,0
36245,4810,0,1,0,0
36246,4809,0,1,0,0
36247,4807,0,1,0,0
36248,4806,0,1,0,0
36247,4806,0,1,0,0
36246,4806,0,1,0,0
36246,4805,0,1,0,0
36246,4804,0,1,0,0
36243,4806,0,1,0,0
36244,4804,0,1,0,0
36240,4803,0,1,0,0
36235,4806,0,1,0,0
36235,4814,0,1,0,0
36233,4822,0,1,0,0
36234,4828,0,1,0,0
36236,4833,0,1,0,0
36234,4838,0,1,0,0
36231,4843,0,1,0,0
36227,4851,0,1,0,0
36222,4856,0,1,0,0
36221,4862,0,1,0,0
36218,4869,0,1,0,0
36208,4871,0,1,0,0
36200,4878,0,1,0,0
36194,4881,0,1,0,0
36187,4892,0,1,0,0
36182,4901,0,1,0,0
36174,4912,0,1,0,0
36168,4926,0,1,0,0
36161,4936,0,1,0,0
36154,4946,0,1,0,0
36148,4960,0,1,0,0
36142,4971,0,1,0,0
36137,4987,0,1,0,0
36132,5003,0,1,0,0
36127,5013,0,1,0,0
36124,5027,0,1,0,0
36119,5041,0,1,0,0
36124,5056,0,1,0,0
36122,5069,0,1,0,0
36122,5079,0,1,0,0
36122,5088,0,1,0,0
36131,5101,0,1,0,0
36134,5109,0,1,0,0
36145,5116,0,1,0,0
36155,5122,0,1,0,0
36155,5126,0,1,0,0
36161,5131,0,1,0,0
36167,5135,0,1,0,0
36169,5150,0,1,0,0
36169,5160,0,1,0,0
36169,5170,0,1,0,0
36174,5178,0,1,0,0
36172,5192,0,1,0,0
36173,5202,0,1,0,0
36175,5202,0,1,0,0
36174,5208,0,1,0,0
36171,5212,0,1,0,0
36172,5223,0,1,0,0
36173,5225,0,1,0,0
36175,5232,0,1,0,0
36177,5239,0,1,0,0
36177,5242,0,1,0,0
36170,5250,0,1,0,0
36164,5255,0,1,0,0
36160,5260,0,1,0,0
36158,5266,0,1,0,0
36157,5270,0,1,0,0
36158,5273,0,1,0,0
36158,5278,0,1,0,0
36154,5282,0,1,0,0
36156,5288,0,1,0,0
36158,5289,0,1,0,0
36161,5292,0,1,0,0
36160,5297,0,1,0,0
36160,5302,0,1,0,0
36159,5305,0,1,0,0
36165,5307,0,1,0,0
36169,5310,0,1,0,0
36173,5309,0,1,0,0
36178,5307,0,1,0,0
36176,5309,0,1,0,0
36175,5313,0,1,0,0
36172,5313,0,1,0,0
36171,5312,0,1,0,0
36170,5312,0,1,0,0
36173,5308,0,1,0,0
36178,5305,0,1,0,0
36153,5380,0,1,0,0
36153,5384,0,1,0,0
36150,5389,0,1,0,0
36147,5394,0,1,0,0
36143,5400,0,1,0,0
36142,5405,0,1,0,0
36145,5412,0,1,0,0
36148,5418,0,1,0,0
36149,5428,0,1,0,0
36150,5438,0,1,0,0
36151,5447,0,1,0,0
36153,5455,0,1,0,0
36155,5464,0,1,0,0
36159,5471,0,1,0,0
36162,5479,0,1,0,0
36165,5486,0,1,0,0
36168,5493,0,1,0,0
36172,5499,0,1,0,0
36176,5507,0,1,0,0
36181,5512,0,1,0,0
36185,5519,0,1,0,0
36189,5524,0,1,0,0
36190,5526,0,1,0,0
36192,5528,0,1,0,0
36193,5532,0,1,0,0
36191,5537,0,1,0,0
36192,5535,0,1,0,0
36196,5534,0,1,0,0
36199,5535,0,1,0,0
36201,5534,0,1,0,0
36203,5538,0,1,0,0
36204,5538,0,1,0,0
36205,5536,0,1,0,0
36203,5535,0,1,0,0
36203,5534,0,1,0,0
36207,5534,0,1,0,0
36208,5532,0,1,0,0
36209,5531,0,1,0,0
36212,5530,0,1,0,0
36213,5530,0,1,0,0
36217,5529,0,1,0,0
36218,5528,0,1,0,0
36223,5528,0,1,0,0
36224,5527,0,1,0,0
36223,5537,0,1,0,0
36226,5540,0,1,0,0
36229,5540,0,1,0,0
36226,5543,0,1,0,0
36230,5544,0,1,0,0
36229,5547,0,1,0,0
36232,5555,0,1,0,0
36232,5563,0,1,0,0
36230,5571,0,1,0,0
36230,5578,0,1,0,0
36229,5586,0,1,0,0
36233,5599,0,1,0,0
36231,5606,0,1,0,0
36229,5611,0,1,0,0
36228,5618,0,1,0,0
36226,5627,0,1,0,0
36227,5635,0,1,0,0
36222,5641,0,1,0,0
36218,5648,0,1,0,0
36211,5652,0,1,0,0
36203,5656,0,1,0,0
36197,5660,0,1,0,0
36192,5663,0,1,0,0
36187,5667,0,1,0,0
36185,5672,0,1,0,0
36187,5680,0,1,0,0
36187,5687,0,1,0,0
36184,5689,0,1,0,0
36179,5687,0,1,0,0
36176,5685,0,1,0,0
36172,5684,0,1,0,0
36172,5686,0,1,0,0
36171,5683,0,1,0,0
36168,5683,0,1,0,0
36168,5681,0,1,0,0
36170,5683,0,1,0,0
36172,5683,0,1,0,0
36165,5684,0,1,0,0
36161,5686,0,1,0,0
36156,5687,0,1,0,0
36151,5691,0,1,0,0
36147,5693,0,1,0,0
36140,5698,0,1,0,0
36135,5705,0,1,0,0
36131,5710,0,1,0,0
36127,5716,0,1,0,0
36122,5716,0,1,0,0
36116,5717,0,1,0,0
36113,5721,0,1,0,0
36114,5723,0,1,0,0
36114,5723,0,1,0,0
36116,5722,0,1,0,0
36118,5721,0,1,0,0
36121,5723,0,1,0,0
36123,5726,0,1,0,0
36122,5729,0,1,0,0
36149,5687,0,1,0,0
36144,5687,0,1,0,0
36144,5684,0,1,0,0
36144,5682,0,1,0,0
36143,5687,0,1,0,0
36143,5691,0,1,0,0
36143,5695,0,1,0,0
36143,5699,0,1,0,0
36142,5702,0,1,0,0
36144,5706,0,1,0,0
36146,5705,0,1,0,0
36146,5703,0,1,0,0
36148,5702,0,1,0,0
36149,5703,0,1,0,0
36151,5701,0,1,0,0
36153,5703,0,1,0,0
36151,5703,0,1,0,0
36154,5706,0,1,0,0
36154,5703,0,1,0,0
36149,5708,0,1,0,0
36147,5711,0,1,0,0
36144,5716,0,1,0,0
36142,5715,0,1,0,0
36142,5715,0,1,0,0
36144,5711,0,1,0,0
36145,5709,0,1,0,0
36144,5709,0,1,0,0
36146,5708,0,1,0,0
36144,5708,0,1,0,0
36144,5707,0,1,0,0
36144,5706,0,1,0,0
36144,5707,0,1,0,0
36145,5703,0,1,0,0
36149,5703,0,1,0,0
36155,5698,0,1,0,0
36162,5696,0,1,0,0
36171,5700,0,1,0,0
36180,5704,0,1,0,0
36183,5712,0,1,0,0
36188,5719,0,1,0,0
36192,5724,0,1,0,0
36196,5727,0,1,0,0
36200,5734,0,1,0,0
36201,5742,0,1,0,0
36206,5747,0,1,0,0
36211,5753,0,1,0,0
36223,5753,0,1,0,0
36227,5754,0,1,0,0
36239,5755,0,1,0,0
36249,5756,0,1,0,0
36256,5748,0,1,0,0
36261,5741,0,1,0,0
36264,5733,0,1,0,0
36269,5727,0,1,0,0
36271,5719,0,1,0,0
36277,5712,0,1,0,0
36284,5709,0,1,0,0
36289,5704,0,1,0,0
36293,5697,0,1,0,0
36296,5692,0,1,0,0
36302,5684,0,1,0,0
36308,5678,0,1,0,0
36313,5670,0,1,0,0
36315,5663,0,1,0,0
36317,5657,0,1,0,0
36320,5651,0,1,0,0
36325,5642,0,1,0,0
36329,5634,0,1,0,0
36335,5624,0,1,0,0
36341,5620,0,1,0,0
36348,5618,0,1,0,0
36353,5614,0,1,0,0
36359,5610,0,1,0,0
36366,5607,0,1,0,0
36370,5605,0,1,0,0
36375,5602,0,1,0,0
