# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<visibility>
35032,14032,0,1,0,0,0
35032,14031,0,1,0,0,0
35027,14032,0,1,0,0,0
35023,14030,0,1,0,0,0
35018,14031,0,1,0,0,0
35016,14030,0,1,0,0,0
35012,14025,0,1,0,0,0
35008,14023,0,1,0,0,0
35003,14022,0,1,0,0,0
34999,14021,0,1,0,0,0
34993,14020,0,1,0,0,0
34986,14017,0,1,0,0,0
34988,14017,0,1,0,0,0
34985,14017,0,1,0,0,0
34982,14015,0,1,0,0,0
34983,14016,0,1,0,0,0
34983,14017,0,1,0,0,0
34983,14018,0,1,0,0,0
34982,14017,0,1,0,0,0
34977,14015,0,1,0,0,0
34973,14013,0,1,0,0,0
34966,14012,0,1,0,0,0
34958,14011,0,1,0,0,0
34950,14009,0,1,0,0,0
34946,14006,0,1,0,0,0
34942,14004,0,1,0,0,0
34938,14001,0,1,0,0,0
34934,13998,0,1,0,0,0
34929,13996,0,1,0,0,0
34926,13994,0,1,0,0,0
34924,13990,0,1,0,0,0
34919,13988,0,1,0,0,0
34914,13985,0,1,0,0,0
34912,13981,0,1,0,0,0
34906,13979,0,1,0,0,0
34907,13973,0,1,0,0,0
34908,13975,0,1,0,0,0
34904,13976,0,1,0,0,0
34907,13973,0,1,0,0,0
34903,13968,0,1,0,0,0
34904,13967,0,1,0,0,0
34902,13964,0,1,0,0,0
34901,13959,0,1,0,0,0
34898,13955,0,1,0,0,0
34896,13948,0,1,0,0,0
34895,13944,0,1,0,0,0
34893,13941,0,1,0,0,0
34894,13937,0,1,0,0,0
34892,13936,0,1,0,0,0
34890,13933,0,1,0,0,0
34889,13930,0,1,0,0,0
34886,13924,0,1,0,0,0
34882,13920,0,1,0,0,0
34878,13916,0,1,0,0,0
34875,13912,0,1,0,0,0
34874,13911,0,1,0,0,0
34873,13909,0,1,0,0,0
34868,13904,0,1,0,0,0
34866,13901,0,1,0,0,0
34862,13896,0,1,0,0,0
