# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<visibility>
23513,10905,0,1,0,0,0
23514,10905,0,1,0,0,0
23512,10905,0,1,0,0,0
23512,10907,0,1,0,0,0
23512,10910,0,1,0,0,0
23511,10908,0,1,0,0,0
23512,10908,0,1,0,0,0
23513,10909,0,1,0,0,0
23509,10908,0,1,0,0,0
23509,10909,0,1,0,0,0
23510,10909,0,1,0,0,0
23510,10910,0,1,0,0,0
23513,10910,0,1,0,0,0
23513,10908,0,1,0,0,0
23515,10909,0,1,0,0,0
23518,10910,0,1,0,0,0
23521,10910,0,1,0,0,0
23524,10909,0,1,0,0,0
23521,10909,0,1,0,0,0
23518,10910,0,1,0,0,0
23519,10907,0,1,0,0,0
23520,10907,0,1,0,0,0
23520,10906,0,1,0,0,0
23520,10907,0,1,0,0,0
23520,10909,0,1,0,0,0
23520,10910,0,1,0,0,0
23520,10907,0,1,0,0,0
23520,10906,0,1,0,0,0
23521,10906,0,1,0,0,0
23521,10908,0,1,0,0,0
23523,10907,0,1,0,0,0
23527,10908,0,1,0,0,0
23531,10907,0,1,0,0,0
23535,10908,0,1,0,0,0
23539,10906,0,1,0,0,0
23543,10905,0,1,0,0,0
23549,10903,0,1,0,0,0
23552,10904,0,1,0,0,0
23555,10905,0,1,0,0,0
23558,10908,0,1,0,0,0
23562,10910,0,1,0,0,0
23565,10912,0,1,0,0,0
23570,10913,0,1,0,0,0
23575,10915,0,1,0,0,0
23581,10915,0,1,0,0,0
23587,10918,0,1,0,0,0
23591,10919,0,1,0,0,0
23594,10920,0,1,0,0,0
23593,10922,0,1,0,0,0
23592,10921,0,1,0,0,0
23596,10922,0,1,0,0,0
23597,10923,0,1,0,0,0
23597,10923,0,1,0,0,0
23596,10922,0,1,0,0,0
23596,10922,0,1,0,0,0
23596,10923,0,1,0,0,0
23596,10923,0,1,0,0,0
23597,10924,0,1,0,0,0
23596,10924,0,1,0,0,0
23597,10925,0,1,0,0,0
23599,10926,0,1,0,0,0
23602,10927,0,1,0,0,0
23606,10929,0,1,0,0,0
23610,10931,0,1,0,0,0
23615,10936,0,1,0,0,0
23622,10940,0,1,0,0,0
23624,10942,0,1,0,0,0
23625,10944,0,1,0,0,0
23627,10946,0,1,0,0,0
23627,10946,0,1,0,0,0
23627,10945,0,1,0,0,0
23627,10947,0,1,0,0,0
23627,10945,0,1,0,0,0
23626,10946,0,1,0,0,0
23627,10946,0,1,0,0,0
23626,10946,0,1,0,0,0
23625,10946,0,1,0,0,0
23625,10945,0,1,0,0,0
23626,10946,0,1,0,0,0
23627,10948,0,1,0,0,0
23627,10953,0,1,0,0,0
23628,10959,0,1,0,0,0
23628,10961,0,1,0,0,0
23626,10961,0,1,0,0,0
23625,10961,0,1,0,0,0
23624,10960,0,1,0,0,0
23624,10959,0,1,0,0,0
23626,10958,0,1,0,0,0
23628,10958,0,1,0,0,0
23628,10958,0,1,0,0,0
23628,10959,0,1,0,0,0
23628,10958,0,1,0,0,0
23629,10959,0,1,0,0,0
23628,10959,0,1,0,0,0
23628,10959,0,1,0,0,0
23628,10959,0,1,0,0,0
23628,10959,0,1,0,0,0
23627,10958,0,1,0,0,0
23628,10957,0,1,0,0,0
23627,10961,0,1,0,0,0
23627,10977,0,1,0,0,0
23627,10977,0,1,0,0,0
23630,10980,0,1,0,0,0
23632,10982,0,1,0,0,0
23634,10984,0,1,0,0,0
23637,10986,0,1,0,0,0
23640,10987,0,1,0,0,0
23644,10987,0,1,0,0,0
23645,10985,0,1,0,0,0
23644,10982,0,1,0,0,0
23648,10984,0,1,0,0,0
23647,10988,0,1,0,0,0
23649,10989,0,1,0,0,0
23650,10990,0,1,0,0,0
23653,10991,0,1,0,0,0
23655,10995,0,1,0,0,0
23656,10991,0,1,0,0,0
23656,10991,0,1,0,0,0
23655,10990,0,1,0,0,0
23657,10991,0,1,0,0,0
23657,10991,0,1,0,0,0
23656,10990,0,1,0,0,0
23657,10990,0,1,0,0,0
23657,10990,0,1,0,0,0
23658,10991,0,1,0,0,0
23660,10991,0,1,0,0,0
23662,10991,0,1,0,0,0
23663,10991,0,1,0,0,0
23663,10991,0,1,0,0,0
23662,10991,0,1,0,0,0
23662,10991,0,1,0,0,0
23661,10991,0,1,0,0,0
23663,10991,0,1,0,0,0
23662,10991,0,1,0,0,0
23665,10990,0,1,0,0,0
23665,10987,0,1,0,0,0
23665,10985,0,1,0,0,0
23667,10982,0,1,0,0,0
23666,10981,0,1,0,0,0
23666,10979,0,1,0,0,0
23666,10978,0,1,0,0,0
23667,10976,0,1,0,0,0
23667,10974,0,1,0,0,0
23666,10972,0,1,0,0,0
23669,10974,0,1,0,0,0
23671,10972,0,1,0,0,0
23675,10969,0,1,0,0,0
23678,10965,0,1,0,0,0
23680,10960,0,1,0,0,0
23684,10955,0,1,0,0,0
23685,10950,0,1,0,0,0
23688,10953,0,1,0,0,0
23691,10951,0,1,0,0,0
23695,10952,0,1,0,0,0
23695,10952,0,1,0,0,0
23695,10951,0,1,0,0,0
23694,10952,0,1,0,0,0
23694,10951,0,1,0,0,0
23694,10952,0,1,0,0,0
23692,10951,0,1,0,0,0
23694,10950,0,1,0,0,0
23694,10951,0,1,0,0,0
23693,10951,0,1,0,0,0
23693,10951,0,1,0,0,0
23693,10953,0,1,0,0,0
23692,10952,0,1,0,0,0
23692,10952,0,1,0,0,0
23692,10951,0,1,0,0,0
23693,10951,0,1,0,0,0
23694,10951,0,1,0,0,0
23695,10952,0,1,0,0,0
23693,10953,0,1,0,0,0
23692,10953,0,1,0,0,0
23691,10953,0,1,0,0,0
23695,10951,0,1,0,0,0
23694,10952,0,1,0,0,0
23695,10952,0,1,0,0,0
23696,10950,0,1,0,0,0
23695,10949,0,1,0,0,0
23696,10948,0,1,0,0,0
23697,10949,0,1,0,0,0
23699,10949,0,1,0,0,0
23701,10950,0,1,0,0,0
23704,10952,0,1,0,0,0
23707,10954,0,1,0,0,0
23709,10956,0,1,0,0,0
23709,10956,0,1,0,0,0
23709,10956,0,1,0,0,0
23710,10955,0,1,0,0,0
23711,10955,0,1,0,0,0
23711,10956,0,1,0,0,0
23712,10957,0,1,0,0,0
23711,10956,0,1,0,0,0
23712,10955,0,1,0,0,0
23712,10956,0,1,0,0,0
23712,10955,0,1,0,0,0
23712,10955,0,1,0,0,0
23713,10955,0,1,0,0,0
23713,10956,0,1,0,0,0
23716,10957,0,1,0,0,0
23716,10957,0,1,0,0,0
23716,10957,0,1,0,0,0
23715,10957,0,1,0,0,0
23715,10957,0,1,0,0,0
23715,10957,0,1,0,0,0
23715,10958,0,1,0,0,0
23715,10957,0,1,0,0,0
23715,10957,0,1,0,0,0
23716,10957,0,1,0,0,0
23717,10957,0,1,0,0,0
23718,10959,0,1,0,0,0
23718,10960,0,1,0,0,0
23719,10962,0,1,0,0,0
23718,10962,0,1,0,0,0
23718,10962,0,1,0,0,0
23718,10962,0,1,0,0,0
23717,10962,0,1,0,0,0
23718,10961,0,1,0,0,0
23719,10962,0,1,0,0,0
23719,10961,0,1,0,0,0
23719,10960,0,1,0,0,0
23721,10962,0,1,0,0,0
23723,10966,0,1,0,0,0
23727,10968,0,1,0,0,0
23729,10966,0,1,0,0,0
23727,10965,0,1,0,0,0
23728,10968,0,1,0,0,0
23728,10968,0,1,0,0,0
23728,10968,0,1,0,0,0
23728,10969,0,1,0,0,0
23728,10968,0,1,0,0,0
23728,10970,0,1,0,0,0
23730,10971,0,1,0,0,0
23733,10971,0,1,0,0,0
23736,10973,0,1,0,0,0
23740,10976,0,1,0,0,0
23744,10977,0,1,0,0,0
23749,10975,0,1,0,0,0
23752,10973,0,1,0,0,0
23756,10974,0,1,0,0,0
23759,10975,0,1,0,0,0
23762,10975,0,1,0,0,0
23765,10974,0,1,0,0,0
23768,10974,0,1,0,0,0
23768,10975,0,1,0,0,0
23768,10976,0,1,0,0,0
23765,10977,0,1,0,0,0
23765,10976,0,1,0,0,0
23766,10975,0,1,0,0,0
23766,10975,0,1,0,0,0
23768,10975,0,1,0,0,0
23771,10976,0,1,0,0,0
23773,10976,0,1,0,0,0
23778,10977,0,1,0,0,0
23781,10980,0,1,0,0,0
23783,10984,0,1,0,0,0
23785,10984,0,1,0,0,0
23787,10984,0,1,0,0,0
23789,10985,0,1,0,0,0
23790,10987,0,1,0,0,0
23792,10988,0,1,0,0,0
23793,10990,0,1,0,0,0
23796,10994,0,1,0,0,0
23800,10995,0,1,0,0,0
23800,10999,0,1,0,0,0
23802,11003,0,1,0,0,0
23804,11006,0,1,0,0,0
23806,11010,0,1,0,0,0
23807,11014,0,1,0,0,0
23808,11017,0,1,0,0,0
23808,11024,0,1,0,0,0
23814,11030,0,1,0,0,0
23817,11038,0,1,0,0,0
23818,11043,0,1,0,0,0
23818,11047,0,1,0,0,0
23819,11052,0,1,0,0,0
23819,11053,0,1,0,0,0
23818,11053,0,1,0,0,0
23822,11053,0,1,0,0,0
23823,11054,0,1,0,0,0
23821,11055,0,1,0,0,0
23820,11054,0,1,0,0,0
23818,11053,0,1,0,0,0
23819,11055,0,1,0,0,0
23817,11055,0,1,0,0,0
23818,11056,0,1,0,0,0
23817,11055,0,1,0,0,0
23817,11056,0,1,0,0,0
23817,11057,0,1,0,0,0
23817,11063,0,1,0,0,0
23815,11065,0,1,0,0,0
23816,11070,0,1,0,0,0
23818,11074,0,1,0,0,0
23816,11080,0,1,0,0,0
23812,11084,0,1,0,0,0
23812,11089,0,1,0,0,0
23812,11090,0,1,0,0,0
23808,11095,0,1,0,0,0
23803,11099,0,1,0,0,0
23801,11104,0,1,0,0,0
23792,11009,0,1,0,0,0
23792,11016,0,1,0,0,0
23791,11020,0,1,0,0,0
23785,11025,0,1,0,0,0
23785,11027,0,1,0,0,0
23784,11034,0,1,0,0,0
23784,11042,0,1,0,0,0
23783,11045,0,1,0,0,0
23782,11049,0,1,0,0,0
23783,11055,0,1,0,0,0
23779,11059,0,1,0,0,0
23776,11066,0,1,0,0,0
23774,11071,0,1,0,0,0
23774,11071,0,1,0,0,0
23779,11075,0,1,0,0,0
23777,11075,0,1,0,0,0
23777,11072,0,1,0,0,0
23777,11068,0,1,0,0,0
23773,11067,0,1,0,0,0
23768,11067,0,1,0,0,0
23768,11067,0,1,0,0,0
23770,11066,0,1,0,0,0
23769,11063,0,1,0,0,0
23769,11063,0,1,0,0,0
23768,11062,0,1,0,0,0
23769,11062,0,1,0,0,0
23770,11060,0,1,0,0,0
23769,11056,0,1,0,0,0
23765,11054,0,1,0,0,0
23761,11053,0,1,0,0,0
23756,11052,0,1,0,0,0
23751,11049,0,1,0,0,0
23746,11046,0,1,0,0,0
23740,11043,0,1,0,0,0
23737,11040,0,1,0,0,0
23733,11037,0,1,0,0,0
23730,11036,0,1,0,0,0
23729,11035,0,1,0,0,0
23726,11039,0,1,0,0,0
23723,11040,0,1,0,0,0
23722,11040,0,1,0,0,0
23720,11042,0,1,0,0,0
23718,11044,0,1,0,0,0
23716,11046,0,1,0,0,0
23713,11047,0,1,0,0,0
23711,11048,0,1,0,0,0
23710,11048,0,1,0,0,0
23708,11049,0,1,0,0,0
23709,11047,0,1,0,0,0
23710,11046,0,1,0,0,0
23709,11044,0,1,0,0,0
23709,11043,0,1,0,0,0
23709,11042,0,1,0,0,0
23706,11043,0,1,0,0,0
23705,11043,0,1,0,0,0
23701,11045,0,1,0,0,0
23699,11045,0,1,0,0,0
23696,11046,0,1,0,0,0
23696,11045,0,1,0,0,0
23691,11045,0,1,0,0,0
23686,11045,0,1,0,0,0
23682,11045,0,1,0,0,0
23676,11044,0,1,0,0,0
23674,11047,0,1,0,0,0
23668,11045,0,1,0,0,0
23666,11044,0,1,0,0,0
23667,11043,0,1,0,0,0
