# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<turn>,<visibility>
28088,10819,0,0,0,0,0,1
28087,10823,0,0,0,0,0,1
28086,10824,0,0,0,0,0,1
28087,10824,0,0,0,0,0,1
28086,10824,0,0,0,0,0,1
28083,10821,0,0,0,0,0,1
28078,10818,0,0,0,0,0,1
28073,10814,0,0,0,0,0,1
28068,10810,0,0,0,0,0,1
28063,10804,0,0,0,0,0,1
28060,10801,0,0,0,0,0,1
28060,10798,0,0,0,0,0,1
28057,10798,0,0,0,0,0,1
28055,10795,0,0,0,0,0,1
28056,10790,0,0,0,0,0,1
28056,10786,0,0,0,0,0,1
28058,10784,0,0,0,0,0,1
28058,10784,0,0,0,0,0,1
28057,10786,0,0,0,0,0,1
28057,10785,0,0,0,0,0,1
28056,10780,0,0,0,0,0,1
28054,10775,0,0,0,0,0,1
28051,10772,0,0,0,0,0,1
28047,10765,0,0,0,0,0,1
28049,10761,0,0,0,0,0,1
28051,10755,0,0,0,0,0,1
28048,10750,0,0,0,0,0,1
28050,10746,0,0,0,0,0,1
28052,10742,0,0,0,0,0,1
28050,10740,0,0,0,0,0,1
28049,10738,0,0,0,0,0,1
28051,10738,0,0,0,0,0,1
28049,10738,0,0,0,0,0,1
28047,10737,0,0,0,0,0,1
28050,10737,0,0,0,0,0,1
28049,10737,0,0,0,0,0,1
28044,10738,0,0,0,0,0,1
28047,10738,0,0,0,0,0,1
28050,10741,0,0,0,0,0,1
28049,10740,0,0,0,0,0,1
28049,10743,0,0,0,0,0,1
28048,10741,0,0,0,0,0,1
28050,10742,0,0,0,0,0,1
28048,10742,0,0,0,0,0,1
28048,10742,0,0,0,0,0,1
28048,10742,0,0,0,0,0,1
28047,10743,0,0,0,0,0,1
28047,10743,0,0,0,0,0,1
28047,10743,0,0,0,0,0,1
28045,10744,0,0,0,0,0,1
28046,10745,0,0,0,0,0,1
28048,10746,0,0,0,0,0,1
28048,10747,0,0,0,0,0,1
28048,10747,0,0,0,0,0,1
28050,10750,0,0,0,0,0,1
28050,10749,0,0,0,0,0,1
28051,10748,0,0,0,0,0,1
28051,10748,0,0,0,0,0,1
28051,10748,0,0,0,0,0,1
28053,10750,0,0,0,0,0,1
28052,10750,0,0,0,0,0,1
28052,10750,0,0,0,0,0,1
28052,10750,0,0,0,0,0,1
28055,10753,0,0,0,0,0,1
28056,10753,0,0,0,0,0,1
28056,10752,0,0,0,0,0,1
28055,10751,0,0,0,0,0,1
28055,10751,0,0,0,0,0,1
28054,10751,0,0,0,0,0,1
28055,10752,0,0,0,0,0,1
28054,10752,0,0,0,0,0,1
28054,10752,0,0,0,0,0,1
28054,10751,0,0,0,0,0,1
28053,10750,0,0,0,0,0,1
28053,10750,0,0,0,0,0,1
28055,10750,0,0,0,0,0,1
28054,10749,0,0,0,0,0,1
28055,10749,0,0,0,0,0,1
28055,10749,0,0,0,0,0,1
28055,10749,0,0,0,0,0,1
28056,10749,0,0,0,0,0,1
28056,10749,0,0,0,0,0,1
28057,10752,0,0,0,0,0,1
28056,10752,0,0,0,0,0,1
28055,10752,0,0,0,0,0,1
28055,10752,0,0,0,0,0,1
28053,10751,0,0,0,0,0,1
28050,10751,0,0,0,0,0,1
28047,10750,0,0,0,0,0,1
28044,10749,0,0,0,0,0,1
28043,10747,0,0,0,0,0,1
28044,10747,0,0,0,0,0,1
28048,10747,0,0,0,0,0,1
28047,10748,0,0,0,0,0,1
28046,10747,0,0,0,0,0,1
28045,10747,0,0,0,0,0,1
28044,10746,0,0,0,0,0,1
28045,10745,0,0,0,0,0,1
28044,10746,0,0,0,0,0,1
28042,10742,0,0,0,0,0,1
28039,10736,0,0,0,0,0,1
28038,10736,0,0,0,0,0,1
28037,10741,0,0,0,0,0,1
28036,10742,0,0,0,0,0,1
28035,10742,0,0,0,0,0,1
28035,10742,0,0,0,0,0,1
28035,10742,0,0,0,0,0,1
28037,10742,0,0,0,0,0,1
28039,10743,0,0,0,0,0,1
28039,10742,0,0,0,0,0,1
28039,10741,0,0,0,0,0,1
28039,10740,0,0,0,0,0,1
28039,10739,0,0,0,0,0,1
28039,10742,0,0,0,0,0,1
28039,10742,0,0,0,0,0,1
28040,10742,0,0,0,0,0,1
28040,10743,0,0,0,0,0,1
28040,10742,0,0,0,0,0,1
28041,10740,0,0,0,0,0,1
28043,10735,0,0,0,0,0,1
28040,10734,0,0,0,0,0,1
28038,10736,0,0,0,0,0,1
28035,10737,0,0,0,0,0,1
28035,10739,0,0,0,0,0,1
28031,10738,0,0,0,0,0,1
28030,10740,0,0,0,0,0,1
28030,10740,0,0,0,0,0,1
28030,10741,0,0,0,0,0,1
28030,10740,0,0,0,0,0,1
28030,10742,0,0,0,0,0,1
28031,10743,0,0,0,0,0,1
28031,10742,0,0,0,0,0,1
28031,10741,0,0,0,0,0,1
28031,10741,0,0,0,0,0,1
28030,10741,0,0,0,0,0,1
28028,10743,0,0,0,0,0,1
28026,10743,0,0,0,0,0,1
28026,10743,0,0,0,0,0,1
28026,10743,0,0,0,0,0,1
28026,10743,0,0,0,0,0,1
28024,10746,0,0,0,0,0,1
28022,10746,0,0,0,0,0,1
28022,10746,0,0,0,0,0,1
28022,10746,0,0,0,0,0,1
28022,10745,0,0,0,0,0,1
28022,10746,0,0,0,0,0,1
28022,10745,0,0,0,0,0,1
28022,10746,0,0,0,0,0,1
28022,10746,0,0,0,0,0,1
28021,10746,0,0,0,0,0,1
28020,10746,0,0,0,0,0,1
28020,10746,0,0,0,0,0,1
28020,10747,0,0,0,0,0,1
28020,10747,0,0,0,0,0,1
28019,10748,0,0,0,0,0,1
28017,10752,0,0,0,0,0,1
28013,10751,0,0,0,0,0,1
28012,10751,0,0,0,0,0,1
28013,10752,0,0,0,0,0,1
28013,10752,0,0,0,0,0,1
28014,10751,0,0,0,0,0,1
28016,10751,0,0,0,0,0,1
28016,10749,0,0,0,0,0,1
28016,10749,0,0,0,0,0,1
28015,10749,0,0,0,0,0,1
28014,10750,0,0,0,0,0,1
28011,10751,0,0,0,0,0,1
28005,10752,0,0,0,0,0,1
28005,10756,0,0,0,0,0,1
28004,10756,0,0,0,0,0,1
28006,10755,0,0,0,0,0,1
28004,10756,0,0,0,0,0,1
28002,10756,0,0,0,0,0,1
28001,10756,0,0,0,0,0,1
28000,10759,0,0,0,0,0,1
27997,10760,0,0,0,0,0,1
27995,10764,0,0,0,0,0,1
27994,10765,0,0,0,0,0,1
27993,10765,0,0,0,0,0,1
27992,10765,0,0,0,0,0,1
27994,10767,0,0,0,0,0,1
27994,10768,0,0,0,0,0,1
27992,10769,0,0,0,0,0,1
27989,10771,0,0,0,0,0,1
27987,10773,0,0,0,0,0,1
27983,10772,0,0,0,0,0,1
27982,10773,0,0,0,0,0,1
27980,10774,0,0,0,0,0,1
27976,10776,0,0,0,0,0,1
27977,10778,0,0,0,0,0,1
27978,10776,0,0,0,0,0,1
27980,10776,0,0,0,0,0,1
27980,10777,0,0,0,0,0,1
27980,10777,0,0,0,0,0,1
27980,10777,0,0,0,0,0,1
27980,10778,0,0,0,0,0,1
27978,10779,0,0,0,0,0,1
27977,10781,0,0,0,0,0,1
27972,10786,0,0,0,0,0,1
27972,10791,0,0,0,0,0,1
