# x,y,<bush>,<cookie>,<shadow>,<visibility>
19859,6517,0,1,1,0
19859,6517,0,1,1,0
19857,6516,0,1,1,0
19858,6514,0,1,1,0
19857,6515,0,1,1,0
19859,6517,0,1,1,0
19857,6517,0,1,1,0
19858,6518,0,1,1,0
19859,6518,0,1,1,0
19861,6517,0,1,1,0
19863,6516,0,1,1,0
19866,6519,0,1,1,0
19867,6522,0,1,1,0
19869,6522,0,1,1,0
19868,6522,0,1,1,0
19869,6523,0,1,1,0
19869,6525,0,1,1,0
19870,6526,0,1,1,0
19873,6529,0,1,1,0
19874,6533,0,1,0,0
19875,6537,0,1,0,0
19876,6537,0,1,0,0
19877,6539,0,1,0,0
19878,6543,0,1,0,0
19878,6544,0,1,0,0
19877,6543,0,1,0,0
19877,6541,0,1,0,0
19880,6543,0,1,0,0
19878,6543,0,1,0,0
19877,6541,0,1,0,0
19877,6541,0,1,0,0
19879,6540,0,1,0,0
19880,6542,0,1,0,0
19879,6543,0,1,0,0
19878,6544,0,1,0,0
19875,6545,0,1,0,0
19874,6546,0,1,0,0
19874,6545,0,1,0,0
19875,6547,0,1,0,0
19875,6549,0,1,0,0
19873,6551,0,1,0,0
19872,6554,0,1,0,0
19870,6555,0,1,0,0
19869,6556,0,1,0,0
19872,6557,0,1,0,0
19873,6557,0,1,0,0
19873,6558,0,1,0,0
19876,6559,0,1,0,0
19874,6558,0,1,0,0
19873,6560,0,1,0,0
19874,6558,0,1,0,0
19875,6558,0,1,0,0
19873,6559,0,1,0,0
19875,6558,0,1,0,0
19875,6560,0,1,0,0
19875,6562,0,1,0,0
19875,6566,0,1,0,0
19876,6570,0,1,0,0
19876,6574,0,1,0,0
19880,6577,0,1,0,0
19881,6580,0,1,0,0
19882,6582,0,1,0,0
19883,6583,0,1,0,0
19885,6586,0,1,0,0
19887,6590,0,1,0,0
19888,6593,0,1,0,0
19891,6598,0,1,0,0
19893,6602,0,1,0,0
19895,6605,0,1,0,0
19896,6609,0,1,0,0
19898,6611,0,1,0,0
19900,6614,0,1,0,0
19903,6616,0,1,0,0
19908,6619,0,1,0,0
19910,6621,0,1,0,0
19912,6621,0,1,0,0
19914,6621,0,1,0,0
19915,6622,0,1,0,0
19919,6624,0,1,0,0
19919,6624,0,1,0,0
19920,6621,0,1,0,0
19919,6622,0,1,0,0
19916,6623,0,1,0,0
19918,6622,0,1,0,0
19918,6625,0,1,0,0
19919,6626,0,1,0,0
19918,6626,0,1,0,0
19918,6624,0,1,0,0
19921,6625,0,1,0,0
19925,6625,0,1,0,0
19929,6625,0,1,0,0
19933,6626,0,1,0,0
19936,6625,0,1,0,0
19938,6624,0,1,0,0
19941,6623,0,1,0,0
19945,6622,0,1,0,0
19948,6622,0,1,0,0
19952,6622,0,1,0,0
19954,6620,0,1,0,0
19958,6619,0,1,0,0
19963,6619,0,1,0,0
19965,6622,0,1,0,0
19966,6624,0,1,0,0
19966,6623,0,1,0,0
19965,6621,0,1,0,0
19965,6624,0,1,0,0
19966,6624,0,1,0,0
19967,6621,0,1,0,0
19968,6622,0,1,0,0
19969,6625,0,1,0,0
19968,6629,0,1,0,0
19973,6633,0,1,0,0
19977,6636,0,1,0,0
19980,6637,0,1,0,0
19982,6638,0,1,0,0
19987,6640,0,1,0,0
19989,6642,0,1,0,0
19992,6640,0,1,0,0
19993,6638,0,1,0,0
19991,6640,0,1,0,0
19990,6638,0,1,0,0
19990,6638,0,1,0,0
19989,6638,0,1,0,0
19989,6639,0,1,0,0
19991,6640,0,1,0,0
19991,6639,0,1,0,0
19992,6642,0,1,0,0
19997,6643,0,1,0,0
20002,6645,0,1,0,0
20005,6646,0,1,0,0
20009,6646,0,1,0,0
20013,6646,0,1,0,0
20016,6647,0,1,0,0
20019,6647,0,1,0,0
20021,6647,0,1,0,0
20023,6647,0,1,0,0
20027,6647,0,1,0,0
20030,6647,0,1,0,0
20034,6647,0,1,0,0
20037,6649,0,1,0,0
20041,6650,0,1,0,0
20044,6650,0,1,0,0
20047,6651,0,1,0,0
20051,6652,0,1,0,0
20055,6652,0,1,0,0
20056,6652,0,1,0,0
20057,6652,0,1,0,0
20057,6653,0,1,0,0
20059,6653,0,1,0,0
20059,6650,0,1,0,0
20057,6649,0,1,0,0
20057,6650,0,1,0,0
20058,6650,0,1,0,0
20060,6652,0,1,0,0
20059,6653,0,1,0,0
20058,6653,0,1,0,0
20057,6652,0,1,0,0
20058,6652,0,1,0,0
20059,6652,0,1,0,0
20059,6652,0,1,0,0
20060,6653,0,1,0,0
20063,6654,0,1,0,0
20061,6655,0,1,0,0
20062,6657,0,1,0,0
20063,6660,0,1,0,0
20065,6662,0,1,0,0
20068,6664,0,1,0,0
20070,6666,0,1,0,0
20072,6668,0,1,0,0
20075,6670,0,1,0,0
20076,6672,0,1,0,0
20080,6672,0,1,0,0
20080,6673,0,1,0,0
20079,6673,0,1,0,0
20080,6674,0,1,0,0
20080,6674,0,1,0,0
20078,6676,0,1,0,0
20077,6673,0,1,0,0
20077,6674,0,1,0,0
20078,6674,0,1,0,0
20079,6676,0,1,0,0
20081,6678,0,1,0,0
20084,6680,0,1,0,0
20088,6682,0,1,0,0
20090,6683,0,1,0,0
20091,6684,0,1,0,0
20091,6685,0,1,0,0
20092,6686,0,1,0,0
20093,6684,0,1,0,0
20097,6685,0,1,0,0
20099,6686,0,1,0,0
20104,6688,0,1,0,0
20109,6688,0,1,0,0
20113,6688,0,1,0,0
20117,6687,0,1,0,0
20121,6686,0,1,0,0
20123,6685,0,1,0,0
20127,6684,0,1,0,0
20131,6682,0,1,0,0
20136,6679,0,1,0,0
20141,6677,0,1,0,0
20143,6677,0,1,0,0
20147,6677,0,1,0,0
20149,6675,0,1,0,0
20150,6674,0,1,0,0
20151,6673,0,1,0,0
20152,6673,0,1,0,0
20156,6673,0,1,0,0
20157,6671,0,1,0,0
20156,6673,0,1,0,0
20157,6671,0,1,0,0
20155,6670,0,1,0,0
20154,6672,0,1,0,0
20155,6672,0,1,0,0
20157,6674,0,1,0,0
20157,6677,0,1,0,0
20159,6679,0,1,0,0
20162,6681,0,1,0,0
20163,6683,0,1,0,0
20164,6685,0,1,0,0
20165,6685,0,1,0,0
20167,6687,0,1,0,0
20171,6688,0,1,0,0
20174,6689,0,1,0,0
20177,6690,0,1,0,0
20181,6692,0,1,0,0
20185,6694,0,1,0,0
20188,6695,0,1,0,0
20189,6696,0,1,0,0
20191,6696,0,1,0,0
20192,6697,0,1,0,0
20191,6699,0,1,0,0
20193,6700,0,1,0,0
20195,6701,0,1,0,0
20197,6703,0,1,0,0
20199,6705,0,1,0,0
20201,6709,0,1,0,0
20203,6712,0,1,0,0
20206,6717,0,1,0,0
20207,6718,0,1,0,0
20210,6719,0,1,0,0
20211,6720,0,1,0,0
20214,6722,0,1,0,0
20216,6724,0,1,0,0
20218,6725,0,1,0,0
20221,6726,0,1,0,0
20225,6727,0,1,0,0
20228,6728,0,1,0,0
20231,6730,0,1,0,0
20233,6732,0,1,0,0
20234,6734,0,1,0,0
20236,6736,0,1,0,0
20236,6739,0,1,0,0
20238,6742,0,1,0,0
20240,6745,0,1,0,0
20242,6749,0,1,0,0
20243,6748,0,1,0,0
20245,6751,0,1,0,0
20246,6753,0,1,0,0
20248,6755,0,1,0,0
20250,6758,0,1,0,0
20252,6761,0,1,0,0
20255,6764,0,1,0,0
20257,6766,0,1,0,0
20259,6768,0,1,0,0
20261,6771,0,1,0,0
20264,6773,0,1,0,0
20267,6777,0,1,0,0
20271,6780,0,1,0,0
20273,6781,0,1,0,0
20275,6782,0,1,0,0
20278,6784,0,1,0,0
20280,6787,0,1,0,0
20282,6787,0,1,0,0
20283,6786,0,1,0,0
20281,6784,0,1,0,0
20285,6783,0,1,0,0
20287,6781,0,1,0,0
20290,6780,0,1,0,0
20293,6778,0,1,0,0
20296,6777,0,1,0,0
20298,6775,0,1,0,0
20304,6774,0,1,0,0
20304,6772,0,1,0,0
20305,6772,0,1,0,0
20304,6774,0,1,0,0
20304,6773,0,1,0,0
20303,6774,0,1,0,0
20305,6772,0,1,0,0
20305,6773,0,1,0,0
20305,6773,0,1,0,0
20305,6772,0,1,0,0
20305,6771,0,1,0,0
20305,6772,0,1,0,0
20305,6770,0,1,0,0
20304,6769,0,1,0,0
20303,6769,0,1,0,0
20304,6769,0,1,0,0
20303,6769,0,1,0,0
20301,6771,0,1,0,0
20289,6778,0,1,0,0
20291,6778,0,1,0,0
20292,6776,0,1,0,0
20296,6774,0,1,0,0
20296,6774,0,1,0,0
20297,6772,0,1,0,0
20297,6772,0,1,0,0
20296,6771,0,1,0,0
20297,6769,0,1,0,0
20296,6767,0,1,0,0
20295,6763,0,1,0,0
20297,6760,0,1,0,0
20297,6755,0,1,0,0
20297,6755,0,1,0,0
20298,6755,0,1,0,0
20298,6755,0,1,0,0
20298,6759,0,1,0,0
20301,6760,0,1,0,0
20300,6760,0,1,0,0
20302,6760,0,1,0,0
20300,6759,0,1,0,0
20299,6761,0,1,0,0
20299,6762,0,1,0,0
20302,6765,0,1,0,0
20303,6769,0,1,0,0
20303,6771,0,1,0,0
20304,6771,0,1,0,0
20305,6771,0,1,0,0
20307,6769,0,1,0,0
