# x,y,<bush>,<cookie>,<natural prey>,<shadow>,<visibility>
28073,11015,0,0,0,0,0
28072,11014,0,0,0,0,0
28073,11011,0,0,0,0,0
28075,11010,0,0,0,0,0
28075,11009,0,0,0,0,0
28076,11008,0,0,0,0,0
28077,11008,0,0,0,0,0
28079,11004,0,0,0,0,0
28082,11001,0,0,0,0,0
28085,10999,0,0,0,0,0
28087,10995,0,0,0,0,0
28088,10994,0,0,0,0,0
28089,10991,0,0,0,0,0
28092,10991,0,0,0,0,0
28095,10988,0,0,0,0,0
28096,10985,0,0,0,0,0
28097,10983,0,0,0,0,0
28096,10980,0,0,0,0,0
28094,10976,0,0,0,0,0
28092,10971,0,0,0,0,0
28091,10968,0,0,0,0,0
28090,10966,0,0,0,0,0
28090,10963,0,0,0,0,0
28089,10960,0,0,0,0,0
28088,10956,0,0,0,0,0
28088,10953,0,0,0,0,0
28086,10951,0,0,0,0,0
28086,10950,0,0,0,0,0
28086,10949,0,0,0,0,0
28086,10948,0,0,0,0,0
28085,10947,0,0,0,0,0
28082,10945,0,0,0,0,0
28081,10944,0,0,0,0,0
28080,10941,0,0,0,0,0
28079,10939,0,0,0,0,0
28078,10937,0,0,0,0,0
28077,10935,0,0,0,0,0
28076,10934,0,0,0,0,0
28074,10932,0,0,0,0,0
28073,10929,0,0,0,0,0
28072,10927,0,0,0,0,0
28068,10926,0,0,0,0,0
28067,10925,0,0,0,0,0
28067,10923,0,0,0,0,0
28065,10922,0,0,0,0,0
28064,10921,0,0,0,0,0
28063,10922,0,0,0,0,0
28063,10921,0,0,0,0,0
28064,10920,0,0,0,0,0
28063,10921,0,0,0,0,0
28063,10923,0,0,0,0,0
28062,10924,0,0,0,0,0
28063,10926,0,0,0,0,0
28064,10925,0,0,0,0,0
28061,10924,0,0,0,0,0
28062,10925,0,0,0,0,0
28063,10927,0,0,0,0,0
28063,10930,0,0,0,0,0
28065,10932,0,0,0,0,0
28064,10935,0,0,0,0,0
28064,10934,0,0,0,0,0
28064,10935,0,0,0,0,0
28063,10936,0,0,0,0,0
28063,10936,0,0,0,0,0
28062,10936,0,0,0,0,0
28062,10937,0,0,0,0,0
28063,10938,0,0,0,0,0
28062,10939,0,0,0,0,0
28061,10940,0,0,0,0,0
28062,10941,0,0,0,0,0
28062,10942,0,0,0,0,0
28062,10943,0,0,0,0,0
28061,10944,0,0,0,0,0
28060,10945,0,0,0,0,0
28059,10945,0,0,0,0,0
28059,10947,0,0,0,0,0
28059,10949,0,0,0,0,0
28058,10949,0,0,0,0,0
28056,10949,0,0,0,0,0
28057,10952,0,0,0,0,0
28058,10954,0,0,0,0,0
28058,10951,0,0,0,0,0
28054,10949,0,0,0,0,0
28052,10949,0,0,0,0,0
28052,10949,0,0,0,0,0
28053,10950,0,0,0,0,0
28053,10949,0,0,0,0,0
28056,10954,0,0,0,0,0
28056,10959,0,0,0,0,0
28056,10960,0,0,0,0,0
28056,10961,0,0,0,0,0
28055,10961,0,0,0,0,0
28054,10962,0,0,0,0,0
28055,10962,0,0,0,0,0
28055,10965,0,0,0,0,0
28054,10966,0,0,0,0,0
28054,10967,0,0,0,0,0
28052,10969,0,0,0,0,0
28053,10970,0,0,0,0,0
28054,10971,0,0,0,0,0
28056,10764,0,0,0,0,0
28057,10764,0,0,0,0,0
28057,10764,0,0,0,0,0
28058,10759,0,0,0,0,0
28059,10757,0,0,0,0,0
28059,10755,0,0,0,0,0
28059,10756,0,0,0,0,0
28058,10755,0,0,0,0,0
28058,10756,0,0,0,0,0
28059,10758,0,0,0,0,0
28058,10759,0,0,0,0,0
28057,10759,0,0,0,0,0
28055,10759,0,0,0,0,0
28053,10757,0,0,0,0,0
28053,10755,0,0,0,0,0
28053,10754,0,0,0,0,0
28054,10753,0,0,0,0,0
28054,10757,0,0,0,0,0
28054,10757,0,0,0,0,0
28058,10756,0,0,0,0,0
28058,10756,0,0,0,0,0
28058,10754,0,0,0,0,0
28053,10752,0,0,0,0,0
28051,10753,0,0,0,0,0
28051,10755,0,0,0,0,0
28050,10752,0,0,0,0,0
28047,10751,0,0,0,0,0
28049,10749,0,0,0,0,0
28048,10748,0,0,0,0,0
28046,10749,0,0,0,0,0
28042,10751,0,0,0,0,0
28043,10749,0,0,0,0,0
28044,10747,0,0,0,0,0
28044,10747,0,0,0,0,0
28044,10747,0,0,0,0,0
28044,10745,0,0,0,0,0
28047,10742,0,0,0,0,0
28046,10739,0,0,0,0,0
28046,10736,0,0,0,0,0
28046,10735,0,0,0,0,0
28044,10735,0,0,0,0,0
28043,10734,0,0,0,0,0
28041,10738,0,0,0,0,0
28039,10739,0,0,0,0,0
28041,10738,0,0,0,0,0
28044,10737,0,0,0,0,0
28043,10736,0,0,0,0,0
28042,10736,0,0,0,0,0
28039,10736,0,0,0,0,0
28037,10735,0,0,0,0,0
28035,10736,0,0,0,0,0
28032,10736,0,0,0,0,0
28029,10737,0,0,0,0,0
28027,10738,0,0,0,0,0
28024,10737,0,0,0,0,0
28022,10734,0,0,0,0,0
28020,10734,0,0,0,0,0
28017,10733,0,0,0,0,0
28016,10733,0,0,0,0,0
28016,10733,0,0,0,0,0
28014,10734,0,0,0,0,0
28013,10735,0,0,0,0,0
28011,10740,0,0,0,0,0
28005,10739,0,0,0,0,0
28003,10739,0,0,0,0,0
28001,10739,0,0,0,0,0
28000,10741,0,0,0,0,0
27999,10742,0,0,0,0,0
27997,10743,0,0,0,0,0
27996,10743,0,0,0,0,0
27996,10742,0,0,0,0,0
27990,10741,0,0,0,0,0
27990,10738,0,0,0,0,0
27991,10738,0,0,0,0,0
27993,10741,0,0,0,0,0
27995,10744,0,0,0,0,0
27995,10746,0,0,0,0,0
27994,10747,0,0,0,0,0
27993,10749,0,0,0,0,0
27992,10750,0,0,0,0,0
27991,10751,0,0,0,0,0
27992,10747,0,0,0,0,0
27990,10745,0,0,0,0,0
27990,10745,0,0,0,0,0
27988,10745,0,0,0,0,0
27990,10745,0,0,0,0,0
27993,10746,0,0,0,0,0
27990,10753,0,0,0,0,0
27990,10756,0,0,0,0,0
27989,10758,0,0,0,0,0
27988,10758,0,0,0,0,0
27989,10755,0,0,0,0,0
27992,10756,0,0,0,0,0
27991,10756,0,0,0,0,0
27991,10754,0,0,0,0,0
27992,10756,0,0,0,0,0
27992,10758,0,0,0,0,0
27993,10756,0,0,0,0,0
27993,10756,0,0,0,0,0
27993,10755,0,0,0,0,0
27987,10760,0,0,0,0,0
27986,10760,0,0,0,0,0
27988,10761,0,0,0,0,0
27989,10764,0,0,0,0,0
27990,10767,0,0,0,0,0
27989,10768,0,0,0,0,0
27989,10769,0,0,0,0,0
27992,10768,0,0,0,0,0
27990,10765,0,0,0,0,0
27992,10764,0,0,0,0,0
27992,10765,0,0,0,0,0
27992,10764,0,0,0,0,0
27993,10764,0,0,0,0,0
27992,10764,0,0,0,0,0
27991,10764,0,0,0,0,0
27990,10767,0,0,0,0,0
27990,10767,0,0,0,0,0
27989,10768,0,0,0,0,0
27987,10769,0,0,0,0,0
27986,10773,0,0,0,0,0
27982,10775,0,0,0,0,0
27981,10776,0,0,0,0,0
27978,10777,0,0,0,0,0
27978,10779,0,0,0,0,0
27977,10778,0,0,0,0,0
27977,10778,0,0,0,0,0
27977,10778,0,0,0,0,0
27978,10774,0,0,0,0,0
27977,10774,0,0,0,0,0
27978,10772,0,0,0,0,0
27975,10774,0,0,0,0,0
27974,10775,0,0,0,0,0
27971,10774,0,0,0,0,0
