# x,y,<bush>,<cookie>,<shadow>,<visibility>
28853,7056,0,1,0,0
28852,7056,0,1,0,0
28852,7055,0,1,0,0
28852,7053,0,1,0,0
28851,7053,0,1,0,0
28850,7051,0,1,0,0
28848,7049,0,1,0,0
28848,7046,0,1,0,0
28846,7043,0,1,0,0
28845,7041,0,1,0,0
28841,7040,0,1,0,0
28838,7040,0,1,0,0
28837,7036,0,1,0,0
28835,7036,0,1,0,0
28833,7035,0,1,0,0
28831,7034,0,1,0,0
28829,7034,0,1,0,0
28828,7033,0,1,0,0
28828,7032,0,1,0,0
28829,7033,0,1,0,0
28828,7032,0,1,0,0
28829,7031,0,1,0,0
28828,7033,0,1,0,0
28824,7034,0,1,0,0
28821,7037,0,1,0,0
28819,7038,0,1,0,0
28817,7038,0,1,0,0
28816,7039,0,1,0,0
28813,7038,0,1,0,0
28812,7038,0,1,0,0
28809,7038,0,1,0,0
28807,7038,0,1,0,0
28805,7039,0,1,0,0
28803,7038,0,1,0,0
28801,7039,0,1,0,0
28798,7038,0,1,0,0
28796,7038,0,1,0,0
28793,7037,0,1,0,0
28791,7036,0,1,0,0
28788,7037,0,1,0,0
28786,7036,0,1,0,0
28784,7035,0,1,0,0
28781,7033,0,1,0,0
28778,7031,0,1,0,0
28775,7031,0,1,0,0
28772,7029,0,1,0,0
28769,7028,0,1,0,0
28766,7024,0,1,0,0
28766,7021,0,1,0,0
28764,7021,0,1,0,0
28764,7018,0,1,0,0
28764,7016,0,1,0,0
28764,7014,0,1,0,0
28764,7013,0,1,0,0
28763,7012,0,1,0,0
28762,7014,0,1,0,0
28763,7015,0,1,0,0
28763,7015,0,1,0,0
28765,7013,0,1,0,0
28764,7014,0,1,0,0
28765,7015,0,1,0,0
28765,7015,0,1,0,0
28766,7014,0,1,0,0
28765,7014,0,1,0,0
28764,7015,0,1,0,0
28766,7014,0,1,0,0
28768,7014,0,1,0,0
28770,7013,0,1,0,0
28769,7015,0,1,0,0
28770,7016,0,1,0,0
28768,7013,0,1,0,0
28768,7014,0,1,0,0
28769,7013,0,1,0,0
28771,7015,0,1,0,0
28768,7014,0,1,0,0
28765,7016,0,1,0,0
28767,7016,0,1,0,0
28768,7016,0,1,0,0
28770,7016,0,1,0,0
28768,7015,0,1,0,0
28769,7015,0,1,0,0
28769,7014,0,1,0,0
28770,7014,0,1,0,0
28771,7013,0,1,0,0
28771,7013,0,1,0,0
28775,7016,0,1,0,0
28769,7013,0,1,0,0
28771,7013,0,1,0,0
28771,7013,0,1,0,0
28773,7014,0,1,0,0
28771,7013,0,1,0,0
28771,7014,0,1,0,0
28771,7013,0,1,0,0
28774,7014,0,1,0,0
28776,7015,0,1,0,0
28778,7015,0,1,0,0
28780,7015,0,1,0,0
28781,7014,0,1,0,0
28782,7016,0,1,0,0
28783,7016,0,1,0,0
28777,7018,0,1,0,0
28777,7018,0,1,0,0
28778,7019,0,1,0,0
28780,7020,0,1,0,0
28781,7020,0,1,0,0
28780,7021,0,1,0,0
28781,7016,0,1,0,0
28777,7013,0,1,0,0
28777,7013,0,1,0,0
28774,7009,0,1,0,0
28772,7006,0,1,0,0
28770,7003,0,1,0,0
28767,7001,0,1,0,0
28765,7000,0,1,0,0
28765,6996,0,1,0,0
28763,6994,0,1,0,0
28761,6993,0,1,0,0
28759,6993,0,1,0,0
28758,6993,0,1,0,0
28758,6992,0,1,0,0
28759,6991,0,1,0,0
28760,6992,0,1,0,0
28758,6992,0,1,0,0
28756,6990,0,1,0,0
28755,6993,0,1,0,0
28753,6992,0,1,0,0
28750,6991,0,1,0,0
28747,6990,0,1,0,0
28744,6988,0,1,0,0
28741,6988,0,1,0,0
28737,6989,0,1,0,0
28732,6992,0,1,0,0
28731,6991,0,1,0,0
28729,6988,0,1,0,0
28727,6986,0,1,0,0
28725,6985,0,1,0,0
28722,6982,0,1,0,0
28720,6981,0,1,0,0
28716,6979,0,1,0,0
28713,6977,0,1,0,0
28710,6973,0,1,0,0
28706,6969,0,1,0,0
28704,6965,0,1,0,0
28702,6962,0,1,0,0
28701,6960,0,1,0,0
28698,6957,0,1,0,0
28700,6959,0,1,0,0
28701,6957,0,1,0,0
28701,6954,0,1,0,0
28701,6954,0,1,0,0
28701,6950,0,1,0,0
28701,6948,0,1,0,0
28699,6945,0,1,0,0
28698,6939,0,1,0,0
28697,6938,0,1,0,0
28697,6938,0,1,0,0
28697,6939,0,1,0,0
28697,6939,0,1,0,0
28697,6937,0,1,0,0
28695,6935,0,1,0,0
28695,6933,0,1,0,0
28695,6931,0,1,0,0
28697,6932,0,1,0,0
28697,6931,0,1,0,0
28696,6931,0,1,0,0
28697,6932,0,1,0,0
28698,6931,0,1,0,0
28699,6929,0,1,0,0
28701,6928,0,1,0,0
28702,6924,0,1,0,0
