# x,y,<bush>,<cookie>,<shadow>,<visibility>
23674,3334,0,1,0,0
23674,3335,0,1,0,0
23672,3337,0,1,0,0
23670,3338,0,1,0,0
23670,3338,0,1,0,0
23669,3339,0,1,0,0
23670,3341,0,1,0,0
23669,3339,0,1,0,0
23667,3340,0,1,0,0
23664,3341,0,1,0,0
23661,3342,0,1,0,0
23660,3343,0,1,0,0
23658,3343,0,1,0,0
23655,3343,0,1,0,0
23651,3342,0,1,0,0
23648,3341,0,1,0,0
23652,3340,0,1,0,0
23652,3338,0,1,0,0
23653,3340,0,1,0,0
23656,3340,0,1,0,0
23659,3340,0,1,0,0
23660,3342,0,1,0,0
23661,3344,0,1,0,0
23660,3346,0,1,0,0
23660,3345,0,1,0,0
23660,3345,0,1,0,0
23657,3344,0,1,0,0
23652,3344,0,1,0,0
23646,3343,0,1,0,0
23642,3342,0,1,0,0
23637,3340,0,1,0,0
23633,3338,0,1,0,0
23629,3338,0,1,0,0
23626,3336,0,1,0,0
23625,3335,0,1,0,0
23623,3334,0,1,0,0
23623,3332,0,1,0,0
23621,3332,0,1,0,0
23619,3332,0,1,0,0
23617,3332,0,1,0,0
23613,3331,0,1,0,0
23609,3331,0,1,0,0
23606,3332,0,1,0,0
23602,3332,0,1,0,0
23600,3333,0,1,0,0
23597,3332,0,1,0,0
23596,3332,0,1,0,0
23592,3334,0,1,0,0
23592,3334,0,1,0,0
23591,3335,0,1,0,0
23590,3335,0,1,0,0
23590,3334,0,1,0,0
23587,3333,0,1,0,0
23583,3332,0,1,0,0
23581,3334,0,1,0,0
23580,3335,0,1,0,0
23577,3334,0,1,0,0
23576,3334,0,1,0,0
23575,3332,0,1,0,0
23576,3331,0,1,0,0
23576,3330,0,1,0,0
23578,3328,0,1,0,0
23578,3328,0,1,0,0
23575,3325,0,1,0,0
23575,3325,0,1,0,0
23576,3323,0,1,0,0
23573,3325,0,1,0,0
23574,3326,0,1,0,0
23575,3325,0,1,0,0
23576,3325,0,1,0,0
23577,3326,0,1,0,0
23574,3329,0,1,0,0
23576,3328,0,1,0,0
23578,3328,0,1,0,0
23579,3327,0,1,0,0
23578,3326,0,1,0,0
23579,3328,0,1,0,0
23580,3328,0,1,0,0
23582,3327,0,1,0,0
23584,3325,0,1,0,0
23584,3325,0,1,0,0
23584,3326,0,1,0,0
23584,3327,0,1,0,0
23585,3328,0,1,0,0
23583,3329,0,1,0,0
23582,3330,0,1,0,0
23580,3331,0,1,0,0
23579,3334,0,1,0,0
23580,3337,0,1,0,0
23582,3341,0,1,0,0
23584,3343,0,1,0,0
23585,3346,0,1,0,0
23586,3347,0,1,0,0
23587,3348,0,1,0,0
23587,3350,0,1,0,0
23586,3350,0,1,0,0
23585,3350,0,1,0,0
23584,3352,0,1,0,0
23583,3351,0,1,0,0
23585,3350,0,1,0,0
23575,3357,0,1,0,0
