# x,y,<bush>,<cookie>,<shadow>,<visibility>
23589,7301,0,1,0,0
23590,7301,0,1,0,0
23591,7301,0,1,0,0
23591,7301,0,1,0,0
23592,7301,0,1,0,0
23592,7301,0,1,0,0
23593,7301,0,1,0,0
23593,7300,0,1,0,0
23593,7298,0,1,0,0
23593,7298,0,1,0,0
23594,7299,0,1,0,0
23595,7298,0,1,0,0
23595,7298,0,1,0,0
23596,7297,0,1,0,0
23596,7297,0,1,0,0
23598,7296,0,1,0,0
23600,7297,0,1,0,0
23601,7297,0,1,0,0
23603,7297,0,1,0,0
23606,7296,0,1,0,0
23608,7294,0,1,0,0
23610,7293,0,1,0,0
23613,7293,0,1,0,0
23615,7292,0,1,0,0
23617,7292,0,1,0,0
23619,7291,0,1,0,0
23622,7294,0,1,0,0
23623,7295,0,1,0,0
23624,7295,0,1,0,0
23624,7295,0,1,0,0
23621,7295,0,1,0,0
23622,7293,0,1,0,0
23619,7296,0,1,0,0
23618,7297,0,1,0,0
23617,7298,0,1,0,0
23616,7300,0,1,0,0
23616,7303,0,1,0,0
23623,7307,0,1,0,0
23631,7310,0,1,0,0
23638,7313,0,1,0,0
23640,7315,0,1,0,0
23643,7317,0,1,0,0
23647,7320,0,1,0,0
23649,7320,0,1,0,0
23650,7321,0,1,0,0
23652,7322,0,1,0,0
23661,7319,0,1,0,0
23670,7316,0,1,0,0
23680,7313,0,1,0,0
23691,7310,0,1,0,0
23702,7308,0,1,0,0
23711,7307,0,1,0,0
23719,7308,0,1,0,0
23728,7310,0,1,0,0
23735,7311,0,1,0,0
23745,7312,0,1,0,0
23753,7310,0,1,0,0
23761,7311,0,1,0,0
23770,7311,0,1,0,0
23778,7312,0,1,0,0
23786,7315,0,1,0,0
23794,7314,0,1,0,0
23804,7316,0,1,0,0
23806,7318,0,1,0,0
23815,7320,0,1,0,0
23824,7320,0,1,0,0
23833,7322,0,1,0,0
23842,7320,0,1,0,0
23849,7320,0,1,0,0
23856,7318,0,1,0,0
23860,7315,0,1,0,0
23865,7310,0,1,0,0
23867,7312,0,1,0,0
23870,7311,0,1,0,0
23874,7311,0,1,0,0
23880,7309,0,1,0,0
23883,7309,0,1,0,0
23886,7309,0,1,0,0
23892,7313,0,1,0,0
23895,7319,0,1,0,0
23901,7323,0,1,0,0
23907,7322,0,1,0,0
23912,7327,0,1,0,0
23920,7332,0,1,0,0
23925,7334,0,1,0,0
23930,7339,0,1,0,0
23934,7338,0,1,0,0
23936,7337,0,1,0,0
23940,7337,0,1,0,0
23942,7333,0,1,0,0
23944,7334,0,1,0,0
23946,7334,0,1,0,0
23947,7333,0,1,0,0
23949,7334,0,1,0,0
23949,7335,0,1,0,0
23949,7336,0,1,0,0
23950,7336,0,1,0,0
23951,7334,0,1,0,0
23952,7331,0,1,0,0
23953,7331,0,1,0,0
23955,7331,0,1,0,0
23959,7331,0,1,0,0
23963,7331,0,1,0,0
23964,7330,0,1,0,0
23967,7331,0,1,0,0
23969,7333,0,1,0,0
23970,7334,0,1,0,0
23973,7337,0,1,0,0
23976,7339,0,1,0,0
23978,7339,0,1,0,0
23977,7339,0,1,0,0
23980,7338,0,1,0,0
23979,7339,0,1,0,0
23980,7340,0,1,0,0
23978,7340,0,1,0,0
23976,7338,0,1,0,0
23978,7339,0,1,0,0
23981,7341,0,1,0,0
23983,7344,0,1,0,0
23984,7348,0,1,0,0
23985,7351,0,1,0,0
23987,7356,0,1,0,0
23988,7358,0,1,0,0
23989,7361,0,1,0,0
23991,7363,0,1,0,0
23993,7367,0,1,0,0
23996,7372,0,1,0,0
23999,7375,0,1,0,0
24000,7378,0,1,0,0
24002,7383,0,1,0,0
24003,7388,0,1,0,0
24006,7394,0,1,0,0
24007,7399,0,1,0,0
24009,7404,0,1,0,0
24010,7409,0,1,0,0
24012,7415,0,1,0,0
24012,7421,0,1,0,0
24013,7426,0,1,0,0
24015,7432,0,1,0,0
24016,7437,0,1,0,0
24018,7442,0,1,0,0
24020,7448,0,1,0,0
24024,7454,0,1,0,0
24027,7458,0,1,0,0
24030,7459,0,1,0,0
24034,7460,0,1,0,0
24038,7461,0,1,0,0
24042,7462,0,1,0,0
24047,7463,0,1,0,0
24050,7464,0,1,0,0
24053,7465,0,1,0,0
24059,7466,0,1,0,0
24061,7466,0,1,0,0
24064,7467,0,1,0,0
24062,7466,0,1,0,0
24063,7466,0,1,0,0
24062,7466,0,1,0,0
24068,7467,0,1,0,0
24071,7468,0,1,0,0
24075,7468,0,1,0,0
24080,7470,0,1,0,0
24083,7470,0,1,0,0
24085,7470,0,1,0,0
24087,7471,0,1,0,0
24090,7473,0,1,0,0
24092,7474,0,1,0,0
24095,7478,0,1,0,0
24100,7479,0,1,0,0
24101,7480,0,1,0,0
