# x,y,<bush>,<cookie>,<shadow>,<visibility>
28041,11029,0,0,0,0
28041,11029,0,0,0,0
28040,11031,0,0,0,0
28040,11033,0,0,0,0
28038,11035,0,0,0,0
28038,11035,0,0,0,0
28037,11037,0,0,0,0
28037,11040,0,0,0,0
28037,11042,0,0,0,0
28038,11044,0,0,0,0
28037,11048,0,0,0,0
28040,11049,0,0,0,0
28040,11055,0,0,0,0
28041,11059,0,0,0,0
28040,11064,0,0,0,0
28038,11066,0,0,0,0
28036,11068,0,0,0,0
28035,11069,0,0,0,0
28030,11071,0,0,0,0
28026,11074,0,0,0,0
28023,11079,0,0,0,0
28020,11085,0,0,0,0
28017,11090,0,0,0,0
28014,11098,0,0,0,0
28016,11100,0,0,0,0
28016,11103,0,0,0,0
28014,11106,0,0,0,0
28011,11106,0,0,0,0
28009,11105,0,0,0,0
28006,11111,0,0,0,0
28003,11113,0,0,0,0
28000,11113,0,0,0,0
27993,11113,0,0,0,0
27989,11116,0,0,0,0
27987,11120,0,0,0,0
27985,11122,0,0,0,0
27982,11124,0,0,0,0
27978,11126,0,0,0,0
27973,11125,0,0,0,0
27967,11127,0,0,0,0
27962,11128,0,0,0,0
27959,11130,0,0,0,0
27953,11131,0,0,0,0
27950,11133,0,0,0,0
27950,11134,0,0,0,0
27945,11135,0,0,0,0
27944,11135,0,0,0,0
27946,11135,0,0,0,0
27941,11137,0,0,0,0
27936,11139,0,0,0,0
27932,11140,0,0,0,0
27928,11142,0,0,0,0
27926,11143,0,0,0,0
27924,11143,0,0,0,0
27919,11144,0,0,0,0
27915,11145,0,0,0,0
27911,11144,0,0,0,0
27909,11142,0,0,0,0
27906,11141,0,0,0,0
27906,11138,0,0,0,0
27905,11137,0,0,0,0
27903,11136,0,0,0,0
27900,11135,0,0,0,0
27894,11135,0,0,0,0
27890,11136,0,0,0,0
27887,11134,0,0,0,0
27884,11131,0,0,0,0
27878,11131,0,0,0,0
27874,11128,0,0,0,0
27871,11126,0,0,0,0
27869,11122,0,0,0,0
27862,11121,0,0,0,0
27856,11121,0,0,0,0
27853,11122,0,0,0,0
27849,11120,0,0,0,0
27842,11121,0,0,0,0
27837,11123,0,0,0,0
27832,11122,0,0,0,0
27826,11123,0,0,0,0
27819,11120,0,0,0,0
27816,11120,0,0,0,0
27812,11119,0,0,0,0
27809,11116,0,0,0,0
27808,11114,0,0,0,0
27807,11111,0,0,0,0
27804,11107,0,0,0,0
27803,11102,0,0,0,0
27804,11099,0,0,0,0
27802,11095,0,0,0,0
27801,11093,0,0,0,0
27801,11090,0,0,0,0
27800,11085,0,0,0,0
27798,11080,0,0,0,0
27796,11075,0,0,0,0
27794,11071,0,0,0,0
27793,11067,0,0,0,0
27792,11063,0,0,0,0
27791,11060,0,0,0,0
27790,11058,0,0,0,0
27784,11058,0,0,0,0
27744,11212,0,0,0,0
27741,11214,0,0,0,0
27740,11214,0,0,0,0
27740,11214,0,0,0,0
27739,11212,0,0,0,0
27733,11214,0,0,0,0
27728,11215,0,0,0,0
27727,11219,0,0,0,0
27723,11223,0,0,0,0
27717,11223,0,0,0,0
27715,11227,0,0,0,0
27712,11230,0,0,0,0
27705,11227,0,0,0,0
27700,11224,0,0,0,0
27697,11224,0,0,0,0
27693,11222,0,0,0,0
27690,11221,0,0,0,0
27687,11217,0,0,0,0
27686,11216,0,0,0,0
27682,11215,0,0,0,0
27679,11211,0,0,0,0
27673,11212,0,0,0,0
27670,11209,0,0,0,0
27669,11207,0,0,0,0
27668,11207,0,0,0,0
27668,11208,0,0,0,0
27668,11208,0,0,0,0
27669,11207,0,0,0,0
27668,11208,0,0,0,0
27669,11208,0,0,0,0
27669,11208,0,0,0,0
27669,11208,0,0,0,0
27669,11208,0,0,0,0
27665,11206,0,0,0,0
27661,11204,0,0,0,0
27661,11204,0,0,0,0
27661,11204,0,0,0,0
27661,11204,0,0,0,0
27662,11204,0,0,0,0
27661,11204,0,0,0,0
27661,11204,0,0,0,0
27661,11204,0,0,0,0
27659,11202,0,0,0,0
27655,11199,0,0,0,0
27648,11192,0,0,0,0
27644,11188,0,0,0,0
27642,11181,0,0,0,0
27640,11173,0,0,0,0
27639,11167,0,0,0,0
27635,11160,0,0,0,0
27630,11156,0,0,0,0
27625,11149,0,0,0,0
27625,11140,0,0,0,0
27621,11136,0,0,0,0
27617,11131,0,0,0,0
27616,11123,0,0,0,0
27617,11117,0,0,0,0
27610,11110,0,0,0,0
27606,11102,0,0,0,0
27604,11096,0,0,0,0
27601,11090,0,0,0,0
27601,11082,0,0,0,0
27604,11073,0,0,0,0
27606,11063,0,0,0,0
27605,11056,0,0,0,0
27600,11049,0,0,0,0
27598,11043,0,0,0,0
27594,11032,0,0,0,0
27596,11025,0,0,0,0
27597,11014,0,0,0,0
27597,11004,0,0,0,0
27595,10994,0,0,0,0
27586,10986,0,0,0,0
27580,10974,0,0,0,0
27577,10961,0,0,0,0
27576,10951,0,0,0,0
27571,10938,0,0,0,0
27568,10928,0,0,0,0
27568,10918,0,0,0,0
27562,10909,0,0,0,0
27555,10902,0,0,1,0
27545,10896,0,0,1,0
27539,10888,0,0,0,0
27532,10882,0,0,0,0
27527,10872,0,0,1,0
27519,10864,0,0,1,0
27515,10859,0,0,1,0
27516,10850,0,0,1,0
27513,10839,0,0,1,0
27507,10826,0,0,1,0
27502,10813,0,0,1,0
27495,10806,0,0,1,0
27488,10795,0,0,1,0
27482,10790,0,0,0,0
27474,10784,0,0,0,0
27468,10775,0,0,0,0
27465,10768,0,0,0,0
27461,10759,0,0,0,0
27457,10751,0,0,0,0
27450,10745,0,0,0,0
27570,10631,0,0,0,0
27565,10622,0,0,0,0
27559,10618,0,0,0,0
27553,10608,0,0,0,0
27548,10598,0,0,0,0
27546,10591,0,0,0,0
27543,10581,0,0,0,0
27537,10575,0,0,0,0
27528,10567,0,0,0,0
27519,10557,0,0,0,0
27517,10548,0,0,0,0
27507,10537,0,0,0,0
27499,10529,0,0,0,0
27490,10519,0,0,0,0
27485,10506,0,0,0,0
27478,10501,0,0,0,0
27468,10493,0,0,0,0
27458,10483,0,0,0,0
27449,10470,0,0,0,0
27438,10457,0,0,0,0
27425,10445,0,0,0,0
27412,10430,0,0,0,0
27401,10419,0,0,0,0
27387,10411,0,0,0,0
27371,10398,0,0,0,0
27357,10384,0,0,0,0
27341,10373,0,0,0,0
27327,10364,0,0,0,0
27313,10355,0,0,0,0
27301,10340,0,0,0,0
27287,10330,0,0,0,0
27270,10321,0,0,0,0
27254,10313,0,0,0,0
27241,10301,0,0,0,0
27224,10291,0,0,0,0
27207,10281,0,0,0,0
27188,10274,0,0,0,0
27172,10263,0,0,0,0
27155,10256,0,0,0,0
27139,10249,0,0,0,0
27122,10242,0,0,0,0
27112,10236,0,0,0,0
27101,10229,0,0,0,0
27090,10224,0,0,0,0
27082,10220,0,0,0,0
27075,10216,0,0,0,0
27068,10212,0,0,0,0
27062,10206,0,0,0,0
27057,10197,0,0,0,0
27053,10190,0,0,0,0
27049,10181,0,0,0,0
27046,10174,0,0,0,0
27042,10164,0,0,0,0
27038,10156,0,0,0,0
27032,10149,0,0,0,0
27029,10144,0,0,0,0
27025,10135,0,0,0,0
27020,10127,0,0,0,0
27016,10120,0,0,0,0
27011,10115,0,0,0,0
27008,10110,0,0,0,0
27004,10101,0,0,0,0
27001,10093,0,0,0,0
26997,10084,0,0,0,0
26992,10075,0,0,0,0
26987,10068,0,0,0,0
26983,10062,0,0,0,0
26978,10056,0,0,0,0
26971,10051,0,0,0,0
26966,10046,0,0,0,0
26961,10043,0,0,0,0
26956,10040,0,0,0,0
26950,10035,0,0,0,0
26943,10028,0,0,0,0
26937,10022,0,0,0,0
26927,10018,0,0,0,0
26921,10014,0,0,0,0
26915,10009,0,0,0,0
